# 제품 연표 — §5 8단계에서 채운다(≥ 80행). year 는 YYYY 만.
year	maker	product	class	notable-for(ko)	source	verified-how
1987	Yamaha	R-50	agri	산업용 무인 헬리콥터 첫 모델 — 15 kg 을 싣고 농약 살포 시연, 20대 한정 판매	yamaha-r50	fetched 2026-09-25 — 'The first model, the R-50 (L09), was completed in 1987'
1997	Yamaha	RMAX	agri	탑재량·기동성을 높인 후속 산업용 무인 헬리콥터(1997년 10월 판매)	yamaha-rmax	fetched 2026-09-25 — 'launched sales of the Yamaha RMAX Aero Robot in October 1997'
2003	Yamaha	RMAX Type G	agri	GPS 자율 항법 RMAX 의 상용판	yamaha-rmax	fetched 2026-09-25 — 'commercialized in April 2003 as the RMAX Type G (UAV)'
2009	3D Robotics	ArduPilot 첫 보드	autopilot	열전대 기울기 센서를 쓴 첫 ArduPilot 보드	ardupilot-history	fetched 2026-09-25 — 'May 2009 - First ArduPilot board (using thermopiles) released by Jordi/3DRobotics'
2010	3D Robotics	APM1	autopilot	ArduPilot 용 비행 제어 보드 1세대	ardupilot-history	fetched 2026-09-25 — '2010 - APM1 released by 3d Robotics'
2010	Parrot	AR.Drone	consumer	스마트폰 앱으로 조종하는 쿼드콥터, CES 2010 공개	https://toucharcade.com/2010/01/06/ces-2010-parrot-ar-drone-an-iphone-controlled-quadricopter/	websearch 2026-09-25 — 'unveiled at the International CES 2010'(패럿 원문 미확인)
2012	Parrot	AR.Drone 2.0	consumer	AR.Drone 후속(2012-01-08 발표, 5월 출시)	https://hexus.net/ce/news/gadgets/33425-parrot-demonstrates-ardrone-20-ces/	websearch 2026-09-25 — 'announced on January 8, 2012, and released in May 2012'
2012	DJI	Flame Wheel F550	kit	조립형 기체 키트(ARF)	https://www.dji.com/newsroom/news/dji-releases-flamewheel-f550-arf-kit	fetched 2026-09-25 — DJI 뉴스룸 목록 '2012-02-15 DJI releases "Flame Wheel" F550 ARF Kit'
2012	DJI	Spreading Wings S800	prosumer	촬영용 6로터 플랫폼	https://www.dji.com/newsroom/news/hex-rotor-platform-spreading-wings-s800	fetched 2026-09-25 — 목록 '2012-04-11 Hex-Rotor Platform Spreading Wings S800'
2012	DJI	Naza-M GPS 모듈	autopilot	멀티로터 비행 제어기 Naza-M 에 GPS 를 더함	https://www.dji.com/newsroom/news/naza-m-gps-module-has-been-released	fetched 2026-09-25 — 목록 '2012-05-28 NAZA-M GPS Module has been released'
