release	freeze	protocols	features	source
# 3GPP 릴리스 — freeze 는 기능 동결(Stage 3 완료), protocols 는 프로토콜 안정화 날짜다.
# 지시서의 세 칸에 protocols 를 하나 더했다. 덱이 둘을 구분해 쓰기 때문이다.
# Rel-15 부터는 3gpp.org 의 Releases 표에서 그대로 옮겼고(일자까지 있다),
# Rel-8~13 은 각 릴리스 설명 문서(Description_Releases)의 동결 표에서 뽑았다.
# Rel-99~Rel-7 은 3GPP 가 공표해 온 월 단위 값이다 — 일자까지는 주장하지 않는다.
Rel-99	2000-03	2000-06	UMTS/WCDMA 물리계층(3.84 Mcps·FDD/TDD), UTRAN(RNC·Node B), GSM 코어 재사용	https://www.3gpp.org/specifications-technologies/releases/release-1999
Rel-4	2001-03	2001-06	CS 코어의 베어러 독립화(MGW/MGC 분리), TD-SCDMA(1.28 Mcps 저칩률 TDD)	https://www.3gpp.org/specifications-technologies/releases/release-4
Rel-5	2002-03	2002-06	HSDPA(AMC·HARQ·2 ms TTI), IMS 1단계, IP 기반 UTRAN 전송	https://www.3gpp.org/specifications-technologies/releases/release-5
Rel-6	2005-03	2005-06	HSUPA(E-DCH), MBMS, WLAN 연동, IMS 2단계	https://www.3gpp.org/specifications-technologies/releases/release-6
Rel-7	2007-12	2008-03	HSPA+(64QAM·2×2 MIMO), 지속 연결(CPC), EDGE 진화	https://www.3gpp.org/specifications-technologies/releases/release-7
Rel-8	2008-12	2009-03	LTE(E-UTRAN)와 EPC — 평탄한 전(全)IP 망, 하향 OFDMA·상향 SC-FDMA	3GPP Rel-08 description (Stage 2 2008-06, Stage 3 2008-12) https://www.3gpp.org/ftp/Information/WORK_PLAN/Description_Releases/
Rel-9	2009-12	2010-03	eMBMS, 홈 eNB(펨토셀), LTE 측위(LCS), SON, 이중층 빔포밍	3GPP Rel-09 description (Stage 2 2009-06, Stage 3 2009-12) https://www.3gpp.org/ftp/Information/WORK_PLAN/Description_Releases/
Rel-10	2011-03	2011-06	LTE-Advanced — 반송파 집성, 8×8 MIMO, 릴레이, 이종망 간섭 조정(eICIC)	3GPP Rel-10 description: "frozen March 2011 (protocols stable three months later)"
Rel-11	2012-09	2013-03	CoMP, ePDCCH, 반송파 집성 확장, MTC 개선	3GPP Rel-11 description (Stage 1 2011-09, Stage 2 2012-03, Stage 3 2012-09)
Rel-12	2014-09	2015-03	이중 연결, 스몰셀, D2D(ProSe), MTC 범주 0, LTE-U 준비	3GPP Rel-12 description (Stage 1 2013-03, Stage 2 2013-12, Stage 3 2014-09)
Rel-13	2016-03	2016-06	NB-IoT, eMTC(Cat-M1), LAA, 32 반송파 집성 — LTE-Advanced Pro	https://www.3gpp.org/specifications-technologies/releases/release-13
Rel-14	2017-03	2017-06	V2X(PC5 사이드링크), eLAA, FeMBMS, 5G 연구 항목	https://www.3gpp.org/specifications-technologies/releases/release-14
Rel-15	2019-03-22	2019-06-07	5G NR 1단계 — NSA 규격 2017-12, SA 규격 2018-06, 후기분(late drop) 2019-03. 5GC(SBA)	3GPP Releases 표 (Functional Freeze 2019-03-22 SA#83 / End 2019-06-07 SA#84) https://www.3gpp.org/specifications-technologies/releases
Rel-16	2020-07-03	2020-07-03	URLLC 강화, NR-U(비면허), NR V2X, IAB, 측위, 5G LAN	3GPP Releases 표 (SA#88-e) https://www.3gpp.org/specifications-technologies/releases
Rel-17	2022-03-18	2022-06-10	NTN(위성), RedCap, 52.6~71 GHz, 측위 고도화, 다중 SIM	3GPP Releases 표 (SA#95 / SA#96) https://www.3gpp.org/specifications-technologies/releases
Rel-18	2024-03	2024-06	5G-Advanced 1차 — AI/ML, XR, 망 에너지 절감, 듀플렉스 진화	3GPP Releases 표 (SA#103 / SA#104) https://www.3gpp.org/specifications-technologies/releases
Rel-19	2025-09	2025-12-12	5G-Advanced 2차 — AI/ML 공기 인터페이스, 앰비언트 IoT, NTN 확장 (2026-09 기준)	3GPP Releases 표 (SA#109 / SA#110, 2025-12-12 볼티모어) https://www.3gpp.org/specifications-technologies/releases
Rel-20	2027-03 (예정)	2027-06 (예정)	5G-Advanced 3차와 6G 연구가 두 갈래로 — 6G 연구는 2025-09 시작, Stage-1 은 2025-06 동결 (2026-09 기준)	3GPP Releases 표(Projected SA#115/#116) 와 https://www.3gpp.org/specifications-technologies/releases/release-20
Rel-21	2028-12 (예정)	2029-03 (예정)	6G 규격 본체 — 2027-03 시작, 기능 동결 2028-12 목표 (2026-09 기준)	https://www.3gpp.org/specifications-technologies/releases/release-21 · https://www.3gpp.org/news-events/3gpp-news/rel21-timeline
