# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# PLAN.md §5 10단계에서 250개 이상으로 채운다.
Termux | 안드로이드 앱 하나 안에 든 리눅스 사용자 공간과 터미널 | p1-c1
termux-app | Termux 앱 자신 — 화면·터미널 에뮬레이션·서비스 | p4-c1
termux-packages | Termux 패키지를 짓는 빌드 스크립트 모음 저장소 | p6-c4
$PREFIX | /data/data/com.termux/files/usr — Termux 의 /usr 자리 | p1-where
$HOME | /data/data/com.termux/files/home — Termux 사용자의 집 | p1-where
접두사(prefix) | 모든 패키지가 깔리는 뿌리 디렉터리, 곧 $PREFIX | p5-c1
부트스트랩 | 앱에 실려 와 처음 실행 때 풀리는 최소 패키지 묶음 | p1-c3
bootstrap zip | 부트스트랩 패키지들을 담은 zip, 아키텍처마다 하나 | p4-incbin
.incbin | 어셈블리 지시어 — zip 을 네이티브 라이브러리 안에 통째로 싣는다 | p4-incbin
SYMLINKS.txt | 부트스트랩 zip 안의 심볼릭 링크 목록 | p4-symlinks
스테이징 | 부트스트랩을 임시 디렉터리에 풀었다가 한 번에 옮기는 방식 | p4-symlinks
pkg | apt 를 감싼 Termux 의 셸 스크립트 — 별칭·미러 순환 | p1-c4
apt | 데비안 계열의 패키지 관리자, Termux 도 쓴다 | p6-c2
dpkg | .deb 를 실제로 풀고 기억하는 낮은 층의 도구 | p6-c1
.deb | 데비안 패키지 파일 — ar 묶음 안에 control 과 data | p6-c7
control 파일 | .deb 의 이름·판·의존성을 적는 파일 | p6-deb-files
postinst | 설치 직후 dpkg 가 돌리는 스크립트 | p6-deb-files
dpkg-deb | .deb 를 짓고 들여다보는 도구 | p6-deb-inspect
status 파일 | dpkg 가 설치된 패키지를 기억하는 파일 | p6-pkgstat-src
미러 | 같은 저장소를 복제해 둔 다른 서버 | p6-mirrors
termux-change-repo | 미러를 고르는 명령 | p15-repo
sources.list | apt 가 볼 저장소 목록 | p6-sources-list
서명 키 | 저장소가 올린 목록이 진짜인지 확인하는 공개 키 | p6-keys
apt-cache policy | 패키지의 후보 판과 우선순위를 보여 주는 명령 | p6-policy
main 저장소 | Termux 의 기본 패키지 채널 | p6-repo-json
x11-repo | 그래픽 패키지 채널을 켜는 패키지 | p12-c1
root-repo | 루팅한 기기용 패키지 채널 | p6-repo-json
TUR | termux-user-repository — 공식 밖의 패키지 모음 | p2-c4
glibc-packages | glibc 로 지은 패키지를 위한 저장소 | p2-c5
build-package.sh | termux-packages 의 패키지 한 개를 짓는 스크립트 | p6-steps-1
build.sh | 패키지 하나의 레시피 — 소스·판·의존성 | p6-steps-1
termux_step_* | 빌드 단계마다 하나씩인 셸 함수 | p6-steps-1
massage 단계 | 설치 트리를 다듬는 단계 — 셔뱅 고치기·ELF 정리 | p6-massage
교차 컴파일 | 다른 기계(PC)에서 폰용 실행 파일을 짓는 일 | p6-cross
NDK | 안드로이드용 C/C++ 도구 모음 | p6-cross
generate-bootstraps.sh | 부트스트랩 zip 을 만드는 스크립트 | p6-generate-bootstraps
termux-elf-cleaner | 안드로이드 링커가 모르는 ELF 항목을 지우는 도구 | p15-unused-dt
패치 | 원 소스를 Termux 에 맞게 고치는 차이 파일 | p8-patches
libandroid-support | bionic 에 없는 iconv 등을 메우는 라이브러리 | p8-c7
