# 명령의 한국어 한 줄 설명 — 17부를 쓸 때 채운다. 출처는 그 명령의 공식 문서(docs/<명령>.txt).
command	summary-ko
git-add	파일 내용을 인덱스에 올린다
git-am	메일함의 패치 묶음을 커밋으로 적용한다
git-annotate	파일의 줄마다 커밋 정보를 단다(blame 의 옛 출력 꼴)
git-apply	패치를 파일 또는 인덱스에 적용한다
git-archimport	GNU Arch 저장소를 Git 으로 가져온다
git-archive	한 트리의 파일로 아카이브(tar·zip)를 만든다
git-backfill	부분 clone 에서 빠진 객체를 받아 온다
git-bisect	이분 탐색으로 버그를 들여온 커밋을 찾는다
git-blame	파일의 줄마다 마지막으로 고친 판과 작성자를 보인다
git-branch	브랜치를 나열·생성·삭제한다
git-bugreport	버그 보고에 쓸 정보를 모은다
git-bundle	객체와 ref 를 파일 하나로 옮긴다
git-cat-file	저장소 객체의 내용이나 정보를 보인다
git-check-attr	gitattributes 가 매긴 속성을 보인다
git-check-ignore	gitignore·exclude 규칙을 진단한다
git-check-mailmap	연락처의 정식 이름과 메일을 보인다
git-check-ref-format	ref 이름이 올바른 꼴인지 확인한다
git-checkout	브랜치를 바꾸거나 작업 트리 파일을 되돌린다
git-checkout-index	인덱스의 파일을 작업 트리로 복사한다
git-cherry	상류에 아직 적용되지 않은 커밋을 찾는다
git-cherry-pick	기존 커밋들이 들여온 변경을 적용한다
git-citool	git-commit 의 그래픽 대안
git-clean	추적되지 않는 파일을 작업 트리에서 지운다
git-clone	저장소를 새 디렉터리로 복제한다
git-column	데이터를 여러 단으로 보인다
git-commit	변경을 저장소에 기록한다
git-commit-graph	커밋 그래프 파일을 쓰고 검증한다
git-commit-tree	새 커밋 객체를 만든다
git-config	저장소·전역 설정을 읽고 쓴다
git-count-objects	풀린 객체 수와 디스크 사용량을 센다
git-credential	사용자 자격 증명을 꺼내고 저장한다
git-credential-cache	비밀번호를 메모리에 잠시 보관하는 도우미
git-credential-store	자격 증명을 디스크에 저장하는 도우미
git-cvsexportcommit	커밋 하나를 CVS 작업 사본으로 내보낸다
git-cvsimport	다른 SCM(CVS)에서 데이터를 건져 온다
git-cvsserver	Git 용 CVS 서버 흉내
git-daemon	Git 저장소를 위한 아주 간단한 서버
