# 릴리스 — 모든 x.y.0 태그. tools/make_data.py 가
# mirror 에서 만든다(손으로 고치지 말 것). first-feature 는
# 그 판 노트의 새 기능 절 첫 항목을 원문 그대로 줄인 것이다
# (대표 기능이 아니다). 1.0.0‥1.4.0 은 노트 파일이 없다.
version	date	first-feature	relnotes-file	verified-how
1.0.0	2005-12-21	-	-	mirror 태그 v1.0.0 의 taggerdate
1.1.0	2006-01-08	-	-	mirror 태그 v1.1.0 의 taggerdate
1.2.0	2006-02-12	-	-	mirror 태그 v1.2.0 의 taggerdate
1.3.0	2006-04-18	-	-	mirror 태그 v1.3.0 의 taggerdate
1.4.0	2006-06-10	-	-	mirror 태그 v1.4.0 의 taggerdate
1.5.0	2007-02-14	-	RelNotes/1.5.0.adoc	mirror 태그 v1.5.0 의 taggerdate
1.6.0	2008-08-17	-	RelNotes/1.6.0.adoc	mirror 태그 v1.6.0 의 taggerdate
1.7.0	2010-02-12	-	RelNotes/1.7.0.adoc	mirror 태그 v1.7.0 의 taggerdate
1.8.0	2012-10-21	A credential helper for Win32 to allow access to the keychain of the logged-in user has been added.	RelNotes/1.8.0.adoc	mirror 태그 v1.8.0 의 taggerdate
1.9.0	2014-02-14	Fetching from a shallowly-cloned repository used to be forbidden, primarily because the codepaths involved were not carefully vetted and we …	RelNotes/1.9.0.adoc	mirror 태그 v1.9.0 의 taggerdate
2.0.0	2014-05-28	The "multi-mail" post-receive hook (in contrib/) has been updated to a more recent version from upstream.	RelNotes/2.0.0.adoc	mirror 태그 v2.0.0 의 taggerdate
2.1.0	2014-08-15	Since the very beginning of Git, we gave the LESS environment a default value "FRSX" when we spawn "less" as the pager. "S" (chop long …	RelNotes/2.1.0.adoc	mirror 태그 v2.1.0 의 taggerdate
2.2.0	2014-11-26	"git archive" learned to filter what gets archived with a pathspec.	RelNotes/2.2.0.adoc	mirror 태그 v2.2.0 의 taggerdate
2.3.0	2015-02-05	It was cumbersome to use "GIT_SSH" mechanism when the user wanted to pass an extra set of arguments to the underlying ssh. A new …	RelNotes/2.3.0.adoc	mirror 태그 v2.3.0 의 taggerdate
2.4.0	2015-04-30	The command usage info strings given by "git cmd -h" and in documentation have been tweaked for consistency.	RelNotes/2.4.0.adoc	mirror 태그 v2.4.0 의 taggerdate
2.5.0	2015-07-27	The bash completion script (in contrib/) learned a few options that "git revert" takes.	RelNotes/2.5.0.adoc	mirror 태그 v2.5.0 의 taggerdate
2.6.0	2015-09-28	An asterisk as a substring (as opposed to the entirety) of a path component for both side of a refspec, e.g. …	RelNotes/2.6.0.adoc	mirror 태그 v2.6.0 의 taggerdate
2.7.0	2016-01-04	The appearance of "gitk", particularly on high DPI monitors, have been improved. "gitk" also comes with an undated translation for Swedish …	RelNotes/2.7.0.adoc	mirror 태그 v2.7.0 의 taggerdate
2.8.0	2016-03-28	It turns out "git clone" over rsync transport has been broken when the source repository has packed references for a long time, and nobody …	RelNotes/2.8.0.adoc	mirror 태그 v2.8.0 의 taggerdate
2.9.0	2016-06-13	Comes with git-multimail 1.3.1 (in contrib/).	RelNotes/2.9.0.adoc	mirror 태그 v2.9.0 의 taggerdate
2.10.0	2016-09-02	"git pull --rebase --verify-signature" learned to warn the user that "--verify-signature" is a no-op when rebasing.	RelNotes/2.10.0.adoc	mirror 태그 v2.10.0 의 taggerdate
2.11.0	2016-11-29	Comes with new version of git-gui, now at its 0.21.0 tag.	RelNotes/2.11.0.adoc	mirror 태그 v2.11.0 의 taggerdate
2.12.0	2017-02-24	Various updates to "git p4".	RelNotes/2.12.0.adoc	mirror 태그 v2.12.0 의 taggerdate
2.13.0	2017-05-09	"git describe" and "git name-rev" have been taught to take more than one refname patterns to restrict the set of refs to base their naming …	RelNotes/2.13.0.adoc	mirror 태그 v2.13.0 의 taggerdate
2.14.0	2017-08-04	The colors in which "git status --short --branch" showed the names of the current branch and its remote-tracking branch are now …	RelNotes/2.14.0.adoc	mirror 태그 v2.14.0 의 taggerdate
2.15.0	2017-10-30	An example that is now obsolete has been removed from a sample hook, and an old example in it that added a sign-off manually has been …	RelNotes/2.15.0.adoc	mirror 태그 v2.15.0 의 taggerdate
2.16.0	2018-01-17	An empty string as a pathspec element that means "everything" i.e. 'git add ""', is now illegal. We started this by first deprecating and …	RelNotes/2.16.0.adoc	mirror 태그 v2.16.0 의 taggerdate
2.17.0	2018-04-02	"diff" family of commands learned "--find-object=<object-id>" option to limit the findings to changes that involve the named object.	RelNotes/2.17.0.adoc	mirror 태그 v2.17.0 의 taggerdate
2.18.0	2018-06-21	Rename detection logic that is used in "merge" and "cherry-pick" has learned to guess when all of x/a, x/b and x/c have moved to z/a, z/b …	RelNotes/2.18.0.adoc	mirror 태그 v2.18.0 의 taggerdate
2.19.0	2018-09-10	"git diff" compares the index and the working tree. For paths added with intent-to-add bit, the command shows the full contents of them as …	RelNotes/2.19.0.adoc	mirror 태그 v2.19.0 의 taggerdate
2.20.0	2018-12-09	Running "git clone" against a project that contain two files with pathnames that differ only in cases on a case insensitive filesystem …	RelNotes/2.20.0.adoc	mirror 태그 v2.20.0 의 taggerdate
2.21.0	2019-02-24	The "http.version" configuration variable can be used with recent enough versions of cURL library to force the version of HTTP used to talk …	RelNotes/2.21.0.adoc	mirror 태그 v2.21.0 의 taggerdate
2.22.0	2019-06-07	"git checkout --no-overlay" can be used to trigger a new mode of checking out paths out of the tree-ish, that allows paths that match the …	RelNotes/2.22.0.adoc	mirror 태그 v2.22.0 의 taggerdate
2.23.0	2019-08-16	The "git fast-export/import" pair has been taught to handle commits with log messages in encoding other than UTF-8 better.	RelNotes/2.23.0.adoc	mirror 태그 v2.23.0 의 taggerdate
2.24.0	2019-11-04	We now have an active interim maintainer for the Git-Gui part of the system. Praise and thank Pratyush Yadav for volunteering.	RelNotes/2.24.0.adoc	mirror 태그 v2.24.0 의 taggerdate
2.25.0	2020-01-13	A tutorial on object enumeration has been added.	RelNotes/2.25.0.adoc	mirror 태그 v2.25.0 의 taggerdate
2.26.0	2020-03-22	Sample credential helper for using .netrc has been updated to work out of the box.	RelNotes/2.26.0.adoc	mirror 태그 v2.26.0 의 taggerdate
2.27.0	2020-05-31	A handful of options to configure SSL when talking to proxies have been added.	RelNotes/2.27.0.adoc	mirror 태그 v2.27.0 의 taggerdate
2.28.0	2020-07-26	The commands in the "diff" family learned to honor "diff.relative" configuration variable.	RelNotes/2.28.0.adoc	mirror 태그 v2.28.0 의 taggerdate
2.29.0	2020-10-19	"git help log" has been enhanced by sharing more material from the documentation for the underlying "git rev-list" command.	RelNotes/2.29.0.adoc	mirror 태그 v2.29.0 의 taggerdate
2.30.0	2020-12-27	Userdiff for PHP update.	RelNotes/2.30.0.adoc	mirror 태그 v2.30.0 의 taggerdate
2.31.0	2021-03-15	The "--format=%(trailers)" mechanism gets enhanced to make it easier to design output for machine consumption.	RelNotes/2.31.0.adoc	mirror 태그 v2.31.0 의 taggerdate
2.32.0	2021-06-06	It does not make sense to make ".gitattributes", ".gitignore" and ".mailmap" symlinks, as they are supposed to be usable from the object …	RelNotes/2.32.0.adoc	mirror 태그 v2.32.0 의 taggerdate
2.33.0	2021-08-16	"git send-email" learned the "--sendmail-cmd" command line option and the "sendemail.sendmailCmd" configuration variable, which is a more …	RelNotes/2.33.0.adoc	mirror 태그 v2.33.0 의 taggerdate
2.34.0	2021-11-14	Pathname expansion (like "~username/") learned a way to specify a location relative to Git installation (e.g. its $sharedir which is …	RelNotes/2.34.0.adoc	mirror 태그 v2.34.0 의 taggerdate
2.35.0	2022-01-24	"git status --porcelain=v2" now show the number of stash entries with --show-stash like the normal output does.	RelNotes/2.35.0.adoc	mirror 태그 v2.35.0 의 taggerdate
2.36.0	2022-04-17	Assorted updates to "git cat-file", especially "-h".	RelNotes/2.36.0.adoc	mirror 태그 v2.36.0 의 taggerdate
2.37.0	2022-06-27	"vimdiff[123]" mergetool drivers have been reimplemented with a more generic layout mechanism.	RelNotes/2.37.0.adoc	mirror 태그 v2.37.0 의 taggerdate
2.38.0	2022-10-02	"git remote show [-n] frotz" now pays attention to negative pathspec.	RelNotes/2.38.0.adoc	mirror 태그 v2.38.0 의 taggerdate
