# 8부 1장(Go 1.25) 용어 — 낱말 | 한 줄 뜻 | 처음 설명하는 슬라이드 id
core type | 타입 매개변수의 타입 집합이 가진 단 하나의 기반 타입. 1.25 명세에서 지워졌다 | p8-v125-coretypes
CPU 대역폭 제한(CPU limit) | cgroup 이 주기마다 쓸 수 있는 CPU 시간을 정한 것. 처리량의 한계 | p8-v125-maxprocswhy
스로틀링(throttling) | CPU 제한을 넘은 컨테이너를 커널이 그 주기의 남은 시간 동안 멈추는 일 | p8-v125-maxprocswhy
그린티(Green Tea) | 객체 대신 페이지 단위로 표시 작업을 모으는 새 GC 설계. 1.25 실험, 1.26 기본값 | p8-v125-greenteawhy
비행 기록기(flight recorder) | 실행 트레이스의 마지막 몇 초를 메모리 고리 버퍼에 늘 남겨 두는 장치 | p8-v125-flightwhy
VMA 이름 | 리눅스가 익명 메모리 매핑에 붙일 수 있는 이름. /proc/pid/maps 에 보인다 | p8-v125-vmaname
DWARF 5 | 디버그 정보 형식의 다섯째 판. 주소·범위 목록 절이 바뀌었다 | p8-v125-dwarf5
거품(bubble) | synctest 가 만드는 격리 구역. 안의 time 은 가짜 시계를 쓴다 | p8-v125-synctest
오래 막힘(durably blocked) | 같은 거품 안의 고루틴만 풀 수 있게 막힌 상태 | p8-v125-synctest
CSRF | 다른 사이트가 사용자의 브라우저로 상태를 바꾸는 요청을 보내게 하는 공격 | p8-v125-csrf
Sec-Fetch-Site | 요청이 같은 출처·같은 사이트·교차 사이트 가운데 어디서 왔는지 브라우저가 알리는 헤더 | p8-v125-csrf
SubjectKeyId | 인증서의 공개키를 가리키는 짧은 식별자 | p8-v125-skid
ignore 지시문 | go.mod 에서 패턴 매칭이 무시할 디렉터리를 적는 줄 | p8-v125-ignore
