# 4부 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
프레임 기하 | 로터의 수·자리·도는 방향의 배치(+, X, H, 헥사, 옥토, 동축) | p4-frames-fig
푸셔·풀러 | 시계 방향 프로펠러(pusher)와 반시계 방향 프로펠러(puller) — ArduPilot 문서의 이름 | p4-props
동축 | 한 팔에 위아래로 두 로터를 겹쳐 반대로 돌리는 배치(X8·Y6) | p4-coax
여유(로터 고장) | 로터 하나가 멈춘 뒤 평형을 지키는 추력 가운데 가장 작은 것의 최댓값 — 이 덱의 정의 | p4-engine-code
작동 원판 | 로터를 공기에 고르게 속도를 더하는 얇은 원판으로 보는 모델 | p4-disc
유도 속도 | 원판을 지나는 공기의 속도 v = √(T/(2ρA)) | p4-t1
이상 일률 | 손실 없는 원판이 추력 T 에 드는 일률 T^(3/2)/√(2ρA) | p4-t1
원판 하중 | 추력 ÷ 원판 넓이(T/A) — 작을수록 같은 추력에 일률이 적게 든다 | p4-radius
성능 지수 | 이상 일률 ÷ 실제 기계 일률(fm ≤ 1) | p4-fm
블레이드 요소 이론 | 날개를 가는 조각으로 잘라 조각마다 양력을 더하는 방법 | p4-prop-idea
반토크 | 도는 로터가 몸체를 반대로 비트는 토크 Q = kQ·Ω² | p4-torque-idea
BLDC 모터 | 붓 대신 ESC 가 코일 전류를 바꾸는 브러시리스 직류 모터 | p4-bldc
ESC | 비행 컨트롤러의 신호를 모터 전력으로 바꾸는 전자 속도 제어기 | p4-bldc
KV | 전압 1 V 당 무부하 회전수 | p4-kv
eRPM | 전기적 회전수 = 기계 회전수 × 극 쌍의 수 | p4-poles
PWM(ESC) | 펄스 너비 1000–2000 µs 로 스로틀을 전하는 방식 | p4-pwm
OneShot125 | PWM 의 펄스 너비를 8 로 나눈 방식 | p4-pwm
DShot | 스로틀을 16비트 디지털 프레임(값 11·요청 1·체크섬 4)으로 보내는 방식 | p4-dshot-why
양방향 DShot | 같은 신호선으로 ESC 가 eRPM 을 돌려보내는 DShot | p4-bdshot
셀 수(S) | 직렬로 이은 배터리 셀의 수 — 4S 는 공칭 14.8 V | p4-cells
Wh/kg | 배터리 에너지 밀도 — 공칭 전압 × 용량 ÷ 무게 | p4-energy
C율 | 용량의 배수로 적은 충·방전 전류의 한계 | p4-c-rating
전압 강하 | 전류가 흐를 때 내부 저항 때문에 단자 전압이 떨어지는 것 | p4-sag
추력 대 중량비 | 최대 총추력 ÷ 무게(T/W) | p4-twr
VIBE | ArduPilot 로그의 진동 수준(가속도계 값의 표준편차) | p4-vib-measure
클리핑 | 센서 값이 측정 한계에 닿아 잘리는 것 | p4-vib-why
에일리어싱 | 표본 빈도보다 빠른 진동이 느린 가짜 신호로 둔갑하는 것 | p4-leans
고조파 노치 필터 | 모터 회전 주파수와 그 배수만 좁게 걸러 내는 필터 | p4-notch
