# 생성 표 — tools/make_data.py 가 docs/FETCHED.txt 와 블로그 색인 에서 만든다. 손으로 고치지 말 것.
key	name	file
blog-10years	Go 블로그 “Go Turns 10” (8 November 2019)	blog/10years.txt
blog-11years	Go 블로그 “Eleven Years of Go” (10 November 2020)	blog/11years.txt
blog-12years	Go 블로그 “Twelve Years of Go” (10 November 2021)	blog/12years.txt
blog-13years	Go 블로그 “Thirteen Years of Go” (10 November 2022)	blog/13years.txt
blog-14years	Go 블로그 “Fourteen Years of Go” (10 November 2023)	blog/14years.txt
blog-15years	Go 블로그 “Go Turns 15” (11 November 2024)	blog/15years.txt
blog-16years	Go 블로그 “Go’s Sweet 16” (14 November 2025)	blog/16years.txt
blog-1year	Go 블로그 “Go: one year ago today” (10 November 2010)	blog/1year.txt
blog-2years	Go 블로그 “The Go Programming Language turns two” (10 November 2011)	blog/2years.txt
blog-3years	Go 블로그 “Go turns three” (10 November 2012)	blog/3years.txt
blog-4years	Go 블로그 “Four years of Go” (10 November 2013)	blog/4years.txt
blog-5years	Go 블로그 “Half a decade with Go” (10 November 2014)	blog/5years.txt
blog-6years	Go 블로그 “Six years of Go” (10 November 2015)	blog/6years.txt
blog-7years	Go 블로그 “Seven years of Go” (10 November 2016)	blog/7years.txt
blog-8years	Go 블로그 “Eight years of Go” (10 November 2017)	blog/8years.txt
blog-9years	Go 블로그 “Nine years of Go” (10 November 2018)	blog/9years.txt
blog-alias-names	Go 블로그 “What's in an (Alias) Name?” (17 September 2024)	blog/alias-names.txt
blog-allocation-optimizations	Go 블로그 “Allocating on the Stack” (27 February 2026)	blog/allocation-optimizations.txt
blog-chacha8rand	Go 블로그 “Secure Randomness in Go 1.22” (2 May 2024)	blog/chacha8rand.txt
blog-cleanups-and-weak	Go 블로그 “From unique to cleanups and weak: new low-level tools for efficiency” (6 March 2025)	blog/cleanups-and-weak.txt
blog-comparable	Go 블로그 “All your comparable types” (17 February 2023)	blog/comparable.txt
blog-compat	Go 블로그 “Backward Compatibility, Go 1.21, and Go 2” (14 August 2023)	blog/compat.txt
blog-container-aware-gomaxprocs	Go 블로그 “Container-aware GOMAXPROCS” (20 August 2025)	blog/container-aware-gomaxprocs.txt
blog-context	Go 블로그 “Go Concurrency Patterns: Context” (29 July 2014)	blog/context.txt
blog-coretypes	Go 블로그 “Goodbye core types - Hello Go as we know and love it!” (26 March 2025)	blog/coretypes.txt
blog-cover	Go 블로그 “The cover story” (2 December 2013)	blog/cover.txt
blog-declaration-syntax	Go 블로그 “Go's Declaration Syntax” (7 July 2010)	blog/declaration-syntax.txt
blog-error-syntax	Go 블로그 “[ On | No ] syntactic support for error handling” (3 June 2025)	blog/error-syntax.txt
blog-execution-traces-2024	Go 블로그 “More powerful Go execution traces” (14 March 2024)	blog/execution-traces-2024.txt
blog-experiment	Go 블로그 “Experiment, Simplify, Ship” (1 August 2019)	blog/experiment.txt
blog-fips140	Go 블로그 “The FIPS 140-3 Go Cryptographic Module” (15 July 2025)	blog/fips140.txt
blog-first-go-program	Go 블로그 “The first Go program” (18 July 2013)	blog/first-go-program.txt
blog-flight-recorder	Go 블로그 “Flight Recorder in Go 1.25” (26 September 2025)	blog/flight-recorder.txt
blog-fuzz-beta	Go 블로그 “Fuzzing is Beta Ready” (3 June 2021)	blog/fuzz-beta.txt
blog-generate	Go 블로그 “Generating code” (22 December 2014)	blog/generate.txt
blog-generic-interfaces	Go 블로그 “Generic interfaces” (7 July 2025)	blog/generic-interfaces.txt
blog-generic-methods	Go 블로그 “Generic Methods” (26 August 2026)	blog/generic-methods.txt
blog-generic-slice-functions	Go 블로그 “Robust generic functions on slices” (22 February 2024)	blog/generic-slice-functions.txt
blog-generics-next-step	Go 블로그 “The Next Step for Generics” (16 June 2020)	blog/generics-next-step.txt
