# 기준 쿼드로터 — SPEC.md §3·§5.6. 슬라이드는 이 표를 인용하고 숫자를 다시 적지 않는다.
parameter	value	unit	why
m	0.5	kg	쇼 드론 한 대 무게의 자릿수를 따른 설계값. 실제 제품의 값이 아니다
g	9.81	m/s^2	표준 중력가속도를 소수 둘째 자리까지
L	0.12	m	중심에서 로터 축까지. 5인치 프로펠러 넷이 서로 닿지 않는 가장 짧은 팔
Jxx	2.3e-3	kg m^2	롤 축 관성. 팔 끝의 모터 넷이 대부분을 차지한다
Jyy	2.3e-3	kg m^2	X 배치는 앞뒤·좌우가 대칭이라 Jxx 와 같다
Jzz	4.0e-3	kg m^2	요 축 관성. 모터 넷이 모두 축에서 L 만큼 떨어져 가장 크다
kT	1.2e-6	N/(rad/s)^2	추력 계수. 호버 회전수가 약 1000 rad/s(약 9,650 rpm)가 되도록 골랐다
kQ	1.24e-8	N m/(rad/s)^2	반토크 계수. 호버의 기계 일률 4·kQ·Ω³ 이 모멘텀 이론의 이상 일률 ÷ 성능 지수(fm)와 맞도록 골랐다 — 한 로터의 두 모델이 같은 일률을 낸다
tau_m	0.03	s	모터 1차 지연. 회전수 명령이 63 % 따라오는 시간
omega_min	200	rad/s	공중에서 모터가 서지 않게 두는 아래 한계
omega_max	2000	rad/s	위 한계. 추력 대 중량비가 약 3.9 가 된다
c_drag	0.08	N/(m/s)	선형 항력. 5 m/s 에서 0.4 N
rho	1.225	kg/m^3	해면 표준 대기의 공기 밀도
r_prop	0.0635	m	5인치(127 mm) 프로펠러의 반지름
fm	0.6	-	성능 지수 — 이상적 모멘텀 이론 대비 실제 로터의 효율
eta_e	0.8	-	모터와 ESC 를 합친 전기 효율
batt_V	14.8	V	4셀 리튬폴리머의 공칭 전압
batt_Ah	1.5	Ah	배터리 용량
batt_use	0.8	-	과방전을 피해 쓰는 비율
led_W	1.0	W	LED 모듈 소비 전력
dmin	1.5	m	쇼에서 두 드론 사이 최소 간격
vmax	3.0	m/s	쇼 동작의 속도 한계
amax	2.0	m/s^2	쇼 동작의 가속도 한계
kp_pos	1.2	1/s	위치 P 이득 — 속도 루프보다 충분히 느리게
kp_vel	3.0	1/s	속도 PID 의 P
ki_vel	0.6	1/s^2	속도 PID 의 I — 바람 같은 일정한 외란을 지운다(T15)
kd_vel	0.05	-	속도 PID 의 D
i_max_vel	2.0	m/s^2	속도 적분 한계 — 적분 누적(wind-up)을 막는다
tau_d_vel	0.02	s	속도 D항 저역 통과 시상수
k_att_xy	8	1/s	롤·피치 자세 P 이득
k_att_z	4	1/s	요 자세 P 이득 — 요는 추력 방향과 무관해 느리게 둔다
yaw_w	0.4	-	PX4 식 요 가중치 — 기울기를 먼저 맞춘다(T19)
rate_max	6	rad/s	자세 루프가 요구하는 각속도의 한계
kp_rate	18	1/s	각속도 PID 의 P
ki_rate	4	1/s^2	각속도 PID 의 I
kd_rate	0.4	-	각속도 PID 의 D
i_max_rate	1.0	rad/s	각속도 적분 한계
tau_d_rate	0.005	s	각속도 D항 저역 통과 시상수 — D항이 잡음을 키우는 것을 누른다(T22)
tilt_max_deg	35	deg	기울기 한계
vmax_ctrl	5	m/s	위치 루프가 요구하는 속도의 한계
dt	0.002	s	물리 적분 걸음(500 Hz, RK4)
rate_hz	250	Hz	각속도 루프 주기
att_hz	250	Hz	자세 루프 주기
pos_hz	50	Hz	위치 루프 주기 — 각속도 루프보다 5배 느리다
sigma_g	0.005	rad/s	자이로 잡음
sigma_bg	0.01	rad/s	자이로 바이어스(한 번 뽑아 고정)
sigma_a	0.05	m/s^2	가속도계 잡음
sigma_b	0.1	m	기압계 고도 잡음
sigma_p	0.3	m	GNSS 위치 잡음(RTK 없이)
