# 연표 — 한 행에 사건 하나. 날짜는 문서에서(scratch/make_timeline.py 로 처음 뽑음), 사건 글은 손으로.
date	event	source	verified-how
2007-09-21	그리저머·파이크·톰프슨이 화이트보드에 새 언어의 목표를 그리기 시작	https://go.dev/doc/faq	docs/faq.txt §What is the history of the project?
2007-09-25	롭 파이크가 "Go" 라는 이름을 제안	https://go.dev/blog/toward-go2	docs/blog/toward-go2.txt §Introduction
2008-01	켄 톰프슨의 실험용 컴파일러(C 코드 출력) 시작	https://go.dev/doc/faq	docs/faq.txt 같은 절
2008-05	이안 테일러가 GCC 프런트엔드를 따로 시작	https://go.dev/doc/faq	docs/faq.txt 같은 절
2009-11-10	Go 공개 — 오픈소스 프로젝트가 됨	https://go.dev/doc/faq	docs/faq.txt 같은 절
2009-12-09	주간 스냅숏 기록의 첫 항목	https://go.dev/doc/devel/weekly	docs/weekly.txt 마지막 절 제목
2010-03-18	Go 블로그의 첫 소식 글(2010년 3월의 새 소식)	https://go.dev/blog/hello-world	docs/blog/index.txt 제목·날짜
2010-07-07	블로그: 선언 문법이 C 와 다른 까닭	https://go.dev/blog/declaration-syntax	docs/blog/index.txt 제목·날짜
2010-08-04	블로그: defer·panic·recover	https://go.dev/blog/defer-panic-and-recover	docs/blog/index.txt 제목·날짜
2010-09-15	Go 플레이그라운드 소개	https://go.dev/blog/playground-intro	docs/blog/index.txt 제목·날짜
2010-11-10	공개 1년 — 기여자 130명 이상	https://go.dev/blog/1year	docs/blog/index.txt 제목·날짜
2011-01-25	블로그: JSON 과 Go	https://go.dev/blog/json	docs/blog/index.txt 제목·날짜
2011-03-16	이름 붙은 안정판 r56	https://go.dev/doc/devel/pre_go1	docs/pre_go1.txt 절 제목
2011-03-16	태그 체계 변경 — weekly 와 release 를 가름	https://go.dev/blog/stable-releases	docs/blog/index.txt 제목·날짜
2011-04-15	gofix 소개	https://go.dev/blog/introducing-gofix	docs/blog/index.txt 제목·날짜
2011-05-03	이름 붙은 안정판 r57	https://go.dev/doc/devel/pre_go1	docs/pre_go1.txt 절 제목
2011-06-24	블로그: Go 프로그램 프로파일링	https://go.dev/blog/pprof	docs/blog/index.txt 제목·날짜
2011-06-29	이름 붙은 안정판 r58	https://go.dev/doc/devel/pre_go1	docs/pre_go1.txt 절 제목
2011-08-01	이름 붙은 안정판 r59	https://go.dev/doc/devel/pre_go1	docs/pre_go1.txt 절 제목
2011-09-06	블로그: 리플렉션의 법칙	https://go.dev/blog/laws-of-reflection	docs/blog/index.txt 제목·날짜
2011-09-07	이름 붙은 안정판 r60	https://go.dev/doc/devel/pre_go1	docs/pre_go1.txt 절 제목
2011-10-04	Go 투어 — 브라우저에서 배우기	https://go.dev/blog/tour	docs/blog/index.txt 제목·날짜
2011-10-05	Go 1 예고	https://go.dev/blog/go1-preview	docs/blog/index.txt 제목·날짜
2012-03-28	Go 1 릴리스	https://go.dev/doc/devel/release	data/releases.tsv(docs/release.txt)
2012-03-28	Go 1 발표 — 첫 바이너리 배포판	https://go.dev/blog/go1	docs/blog/index.txt 제목·날짜
2012-07-11	GCC 4.7.1 에 gccgo	https://go.dev/blog/gccgo-in-gcc-471	docs/blog/index.txt 제목·날짜
2013-01-23	블로그: go fmt your code	https://go.dev/blog/gofmt	docs/blog/index.txt 제목·날짜
2013-05-13	Go 1.1 릴리스	https://go.dev/doc/devel/release	data/releases.tsv(docs/release.txt)
