# 드론쇼 제작 도구 표 — PLAN.md §3.2. 제조사 문서가 적은 것만, 받은 날과 함께. 광고 형용사는 옮기지 않는다.
# kind: design(쇼 설계) server(기체 통신 백엔드) live(현장 지상국) sim(시각화·시뮬레이션) hardware(기체).
# file-formats 의 - 는 공개 문서에 형식이 없다는 뜻이다.
tool	vendor	kind	open-source	file-formats	notes(ko)	source	verified-how
Skybrush Studio for Blender	CollMot Robotics	design	yes	.skyc; .csv; .pdf(검증 보고서); .vviz·.ddsf·.kmz; 제3자 형식(유료)	Blender 애드온으로 쇼를 설계·검증한다. 내보내기 패널에 .skyc·CSV·검증 보고서 PDF가 있고 Finale 3D·Depence 용 형식과 DSS PATH·Drotek·LiteBee 등 제3자 형식은 프로 라이선스로 제공된다. 누리집 글: 5.0 공개 2026-07-30	skybrush-studio; skybrush-export; gh-skybrush-repos; skybrush-home	fetched 2026-09-25; 문서 "Export panel" 절; GitHub API skybrush-io/studio-blender GPL-3.0; 누리집 저작권 줄 "© 2024 CollMot Robotics."
Skybrush Viewer	CollMot Robotics	sim	yes	.skyc	테스트·발표용 3D 쇼 시각화 도구. Studio 가 .skyc 에 넣은 음악(.mp3)과 카메라를 쓴다	skybrush-server; skybrush-export; gh-skybrush-repos	fetched 2026-09-25; Server 문서 모듈 목록 "3D drone show visualiser for testing and presentation purposes"; GitHub API skybrush-io/viewer GPL-3.0
Skybrush Live	CollMot Robotics	live	yes	.skyc	쇼 관리·기체군 제어 프런트엔드(지상국). 누리집 글: 2.14 공개 2026-09-24 — 집단 RTH·일시정지·재개 기능 추가	skybrush-live; skybrush-export; skybrush-home; gh-skybrush-repos	fetched 2026-09-25; Live 문서 "Overview"; Studio 내보내기 문서가 Live 에는 .skyc 를 권한다; GitHub API skybrush-io/live GPL-3.0
Skybrush Server	CollMot Robotics	server	yes	-	쇼 관리·기체군 제어의 백엔드 — 기체와의 통신을 맡고 Live 가 프런트엔드다	skybrush-server; skybrush-home; gh-skybrush-repos	fetched 2026-09-25; Server 문서 "Overview"; GitHub API skybrush-io/skybrush-server GPL-3.0; 파일 형식은 문서에 따로 없음(-)
Blender	Blender Foundation	design	yes	.blend	범용 3D 모델링·애니메이션 도구, GNU GPL 로 배포. Skybrush Studio 가 이 위에서 돌고 Drone Show Creator 는 .blend 를 가져온다	blender-license; skybrush-studio; dss-creator	fetched 2026-09-25; blender.org "Blender is released under the GNU General Public License"
Drone Show Software (DSS)	SPH Engineering / UVIFY	live	no	Path V1/V3	다수 드론 쇼 계획·실행 플랫폼: 이중 지오펜스·하드펜스, GPS 보정 이중화, 레드 버튼(모든 기체 즉시 착지), 타임코드 동기, 원클릭 발사, 3D 시뮬레이션. 무료 Lite 라이선스가 있다. 누리집 머리에 "Product of"와 SPH 로고, EULA(2026-08-07 개정)의 라이선스 제공자는 UVIFY CO., LTD.	dss-software; dss-creator; dss-eula	fetched 2026-09-25; EULA 본문 "UVIFY CO., LTD., a corporation incorporated under the laws of the Republic of Korea"; 로고 파일 이름 "SPH logo"; 경로 형식은 Creator 쪽 FAQ "Path files: Path V1/V3"
Drone Show Creator	SPH Engineering / UVIFY	design	no	가져오기 .blend .dae .fbx .gltf .glb .obj .ply .stl; 경로 Path V1/V3	드론 안무 전용 애니메이션 도구 — 노드 편집기, 3D 모델을 점 대형으로(Mesh Node), 음악 동기, 드론 제어 플랫폼용 비행 파일 내보내기	dss-creator; dss-eula	fetched 2026-09-25; FAQ "What types of assets can I use with Drone Show Creator?"
Verge Aero Design Studio	Verge Aero	design	no	.vviz	쇼 설계·3D 사전 시각화·자동 비행 안전 검사, 텍스트·그림에서 쇼 요소를 만드는 AI 기능. Verge Aero 시스템 사용자에게만 제공	verge-system; verge-studio; verge-vviz	fetched 2026-09-25; Studio 쪽 "Verge Studio is available to users of the full Verge Aero System"; VVIZ 문서가 Design Studio 절 아래 "VVIZ stands for [V]erge [Vi]suali[z]ation Format", 시각화 전용이라 명시
Verge Aero Command	Verge Aero	live	no	-	기체군 지상 제어 소프트웨어 — 타임코드 발사 제어, 여러 기체군 결합	verge-system	fetched 2026-09-25; 시스템 쪽 "Command — Ground control software for safe, scalable fleet operations"; 파일 형식 표기 없음(-)
Verge Aero X7	Verge Aero	hardware	no	-	쇼 전용 드론 — 4개 위성군 RTK GPS, RGBW LED, 스마트 배터리, 지오펜스·RTH; 제조사는 EASA 설계 검증 보고서(DVR) 인정을 내세운다	verge-system	fetched 2026-09-25; 시스템 쪽 "X7 Drone" 목록; DVR 은 제조사 주장으로만 적음
