# 8부 1장 — Go 1.25 의 기능 행. 파트 작성 서브에이전트가 쓴다.
id	version	kind	title	cite-key	cite-sec	slide-id
p8-125-coretypes	1.25	lang	명세에서 core type 을 지움(동작 변화 없음)	relnotes-1.25	Changes to the language	p8-v125-coretypes
p8-125-ignore	1.25	toolchain	go.mod 의 ignore 지시문	relnotes-1.25	Go command	p8-v125-ignore
p8-125-gotoolbuild	1.25	toolchain	미리 빌드한 도구를 줄이고 go tool 이 필요할 때 빌드	relnotes-1.25	Go command	p8-v125-gocmd
p8-125-workpattern	1.25	toolchain	work 패키지 패턴	relnotes-1.25	Go command	
p8-125-notoolchainline	1.25	toolchain	go 줄을 올려도 toolchain 줄을 더하지 않음	relnotes-1.25	Go command	
p8-125-versionjson	1.25	toolchain	go version -m -json	relnotes-1.25	Go command	p8-v125-versionjson
p8-125-dochttp	1.25	toolchain	go doc -http	relnotes-1.25	Go command	
p8-125-asanleak	1.25	toolchain	-asan 의 누수 검출 기본 켜짐	relnotes-1.25	Go command	
p8-125-goimportsubdir	1.25	toolchain	go-import 메타 태그의 하위 디렉터리	relnotes-1.25	Go command	
p8-125-vetwaitgroup	1.25	toolchain	vet waitgroup 분석기	relnotes-1.25	Vet	p8-v125-vetwg
p8-125-vethostport	1.25	toolchain	vet hostport 분석기	relnotes-1.25	Vet	
p8-125-maxprocs	1.25	runtime	컨테이너를 아는 GOMAXPROCS	relnotes-1.25	Container-aware GOMAXPROCS	p8-v125-maxprocs
p8-125-greentea	1.25	runtime	실험 GC 그린티(GOEXPERIMENT=greenteagc)	relnotes-1.25	New experimental garbage collector	p8-v125-greentea
p8-125-flightrec	1.25	runtime	트레이스 비행 기록기(FlightRecorder)	relnotes-1.25	Trace flight recorder	p8-v125-flightrec
p8-125-repanic	1.25	runtime	다시 던진 패닉의 출력 [recovered, repanicked]	relnotes-1.25	Change to unhandled panic output	p8-v125-repanic
p8-125-vmaname	1.25	runtime	리눅스 익명 메모리 영역 이름	relnotes-1.25	VMA names on Linux	p8-v125-vmaname
p8-125-cleanupparallel	1.25	runtime	AddCleanup 정리 함수의 병렬 실행·checkfinalizers	relnotes-1.25	runtime	p8-v125-runtime
p8-125-uniquereclaim	1.25	runtime	unique 가 값을 더 빨리 회수	relnotes-1.25	unique	
p8-125-nilcheck	1.25	toolchain	늦춰진 nil 검사 버그 수정	relnotes-1.25	nil pointer bug	p8-v125-nilcheck
p8-125-dwarf5	1.25	toolchain	DWARF 5 디버그 정보	relnotes-1.25	DWARF5 support	p8-v125-dwarf5
p8-125-stackmake	1.25	toolchain	변수 크기 make 의 스택 할당	relnotes-1.25	Faster slices	p8-v125-stackmake
p8-125-funcalign	1.25	toolchain	링커 -funcalign=N	relnotes-1.25	Linker	
p8-125-synctest	1.25	stdlib	testing/synctest 정식판	relnotes-1.25	New testing/synctest package	p8-v125-synctest
p8-125-jsonv2	1.25	stdlib	실험 encoding/json/v2·jsontext	relnotes-1.25	New experimental encoding/json/v2 package	p8-v125-jsonv2
p8-125-wggo	1.25	stdlib	sync.WaitGroup.Go	api-1.25	pkg sync, method (*WaitGroup) Go(func()) #63796	p8-v125-wggo
p8-125-testattr	1.25	stdlib	T.Attr·T.Output	relnotes-1.25	testing	p8-v125-testattr
p8-125-allocsperrun	1.25	stdlib	병렬 시험 중 AllocsPerRun 은 패닉	relnotes-1.25	testing	
p8-125-typeassert	1.25	stdlib	reflect.TypeAssert	api-1.25	pkg reflect, func TypeAssert[$0 interface{}](Value) ($0, bool) #62121	p8-v125-typeassert
p8-125-csrf	1.25	stdlib	net/http.CrossOriginProtection	relnotes-1.25	net/http	p8-v125-csrf
p8-125-osroot	1.25	stdlib	os.Root 의 새 메서드 12개	relnotes-1.25	os	p8-v125-osroot
p8-125-x509skid	1.25	stdlib	x509 SubjectKeyId 를 SHA-256 으로	relnotes-1.25	crypto/x509	p8-v125-skid
p8-125-ecdsaraw	1.25	stdlib	ecdsa 원시 키 인코딩	relnotes-1.25	crypto/ecdsa	
p8-125-messagesigner	1.25	stdlib	crypto.MessageSigner·SignMessage	relnotes-1.25	crypto	p8-v125-crypto
p8-125-tlssha1	1.25	stdlib	TLS 1.2 의 SHA-1 서명 거절	relnotes-1.25	crypto/tls	
p8-125-rsakeygen	1.25	stdlib	RSA 키 생성 세 배 빠름	relnotes-1.25	crypto/rsa	
