key	repo	path	sha	start	end	licence	why
px4-att-quat-error	PX4/PX4-Autopilot	src/modules/mc_att_control/AttitudeControl/AttitudeControl.cpp	2a0e0481713ca44802d74e9d3ba4a92f384d138f	141	180	BSD-3-Clause	감소 자세(추력축 먼저)·요 가중·쿼터니언 오차 eq=2·imag(qe)·비례 제어까지 한 창 — 9부 쿼터니언 자세 제어의 실물
ardupilot-thrust-vector-rotation	ArduPilot/ardupilot	libraries/AC_AttitudeControl/AC_AttitudeControl.cpp	e4b7c11761da3c4547030c202beb7b55bec6279b	1064	1103	GPL-3.0	추력 벡터를 먼저 맞추는 회전(외적 축·내적 각)과 남은 방향(헤딩) 회전으로 오차를 나누는 핵심 — thrust_heading_rotation_angles 가 부르는 현재 구현
betaflight-antigravity-dterm	betaflight/betaflight	src/main/flight/pid.c	46acf611013ef87f572d1e377412bc41b027a984	1126	1154	GPL-3.0	안티 그래비티(스로틀 변화로 I 가속)와 D 항 입력의 노치→저역 통과 2단 필터가 한 창에 모인 곳 — 레이싱 펌웨어의 실전 PID 손질
mavlink-heartbeat	mavlink/mavlink	message_definitions/v1.0/minimal.xml	2e0efccfa88e84bdc3a89a552970aaeb0bcc1b36	747	755	LGPL-3.0 (생성 코드는 MIT)	HEARTBEAT(id 0) 정의 전체 — 필드 6개의 순서·형이 ex/mavlink_parse.py 의 대조 기준. common.xml 이 standard→minimal 을 include 해 정의는 minimal.xml 에 있다
mavlink-crc-accumulate	mavlink/c_library_v2	checksum.h	27ffe84e79d2e025c9bf6ccd1637f352e49a151b	22	55	MIT (MAVLink 생성 코드)	X.25(CRC-16/MCRF4XX) 초기값 0xffff 와 바이트 하나 누적식 — 6부 CRC 계산과 ex/mavlink_parse.py 대조
mavlink-protocol-version	mavlink/mavlink	message_definitions/v1.0/common.xml	dc252db7ba20b82491e54bf63664681e81d4be86	7720	7728	LGPL-3.0 (생성 코드는 MIT)	PROTOCOL_VERSION(id 300) 정의 — 배열 필드가 CRC_EXTRA 에 길이 한 바이트를 더하는 예(minimal.h 의 217 과 대조)
ardupilot-scheduler-table	ArduPilot/ardupilot	ArduCopter/Copter.cpp	9f648ccabcf25a421192dc5b57491ce981506872	115	154	GPL-3.0	Copter 스케줄러 표 앞부분 — IMU 마다 도는 FAST_TASK 와 Hz·예상 시간·우선순위를 단 SCHED_TASK
betaflight-task-table	betaflight/betaflight	src/main/fc/tasks.c	70a6a38dd63e65f2bfa8332e8a432b10c1330463	380	414	GPL-3.0	Betaflight 과제 표 — 자이로·필터·PID 는 REALTIME, 나머지는 주기(Hz)와 우선순위
toy-imu-knobs	silver13/h8mini-dual	H8mini_test/src/imu.c	a34d221f0c32ece06d4009f9cdfb71193fb51b58	22	34	MIT	상보 필터의 두 손잡이 — 가속도를 믿는 시간 상수(2초)와 가속도를 받아들이는 크기 창(0.7–1.3 g)
toy-imu-rotate	silver13/h8mini-dual	H8mini_test/src/imu.c	a34d221f0c32ece06d4009f9cdfb71193fb51b58	211	226	MIT	자이로로 중력 벡터를 돌린다 — 작은 각 근사(sin≈각, cos≈1)로 축마다 한 번씩
toy-imu-accel	silver13/h8mini-dual	H8mini_test/src/imu.c	a34d221f0c32ece06d4009f9cdfb71193fb51b58	229	261	MIT	가속도의 크기가 1 g 근처일 때만, 정규화한 가속도 쪽으로 저역 통과로 끌어당긴다
toy-headless	silver13/h8mini-dual	H8mini_test/src/control.c	a34d221f0c32ece06d4009f9cdfb71193fb51b58	142	164	MIT	헤드리스 모드 — 자이로 z 만 적분한 요 각으로 스틱을 돌린다(자력계 없음)
toy-lpfcalc	silver13/h8mini-dual	H8mini_test/src/util.c	a34d221f0c32ece06d4009f9cdfb71193fb51b58	34	58	MIT	저역 통과 계수 exp(−dt/시간상수) 와 한 줄 필터
