# 연표 — 한 줄에 사건 하나, source 칸은 비울 수 없다 (PLAN.md §0.4).
# 2025년 이후 줄은 event 끝에 "2026-09 기준" 을 붙이고 WebSearch 로 다시 확인한다.
year	month	event	paper	source
1943	12	McCulloch·Pitts 신경 활동의 논리 계산(인공 뉴런) 발표	mcculloch1943	https://doi.org/10.1007/BF02478259 (Crossref: Bull. Math. Biophys. 5(4), 1943-12)
1958		Rosenblatt 퍼셉트론 논문 발표	rosenblatt1958	https://doi.org/10.1037/h0042519 (Crossref: Psychological Review 65(6), 1958)
1986	10	Rumelhart·Hinton·Williams 역전파 논문 Nature 게재	rumelhart1986	https://doi.org/10.1038/323533a0 (Crossref: Nature 323(6088), 1986-10)
1990	03	Elman 'Finding Structure in Time'(단순 순환망) 게재	elman1990	https://doi.org/10.1207/s15516709cog1402_1 (Crossref: Cognitive Science 14(2), 1990-03)
1997	11	Hochreiter·Schmidhuber LSTM 게재	hochreiter1997	https://doi.org/10.1162/neco.1997.9.8.1735 (Crossref: Neural Computation 9(8), 1997-11)
2003	02	Bengio 외 신경망 확률 언어 모델 JMLR 게재	bengio2003	https://www.jmlr.org/papers/v3/bengio03a.html (JMLR 3(Feb):1137-1155, 2003)
2013	01	Mikolov 외 word2vec 논문(단어 벡터) arXiv 공개	mikolov2013	mikolov2013 v1 2013-01-16 via arXiv API
2013	08	Graves 'Generating Sequences With Recurrent Neural Networks' arXiv 공개	graves2013	graves2013 v1 2013-08-04 via arXiv API
2014		Srivastava 외 드롭아웃 JMLR 게재	srivastava2014	https://jmlr.org/papers/v15/srivastava14a.html (JMLR 15(56):1929-1958, 2014)
2014	06	Cho 외 RNN 인코더-디코더(GRU) arXiv 공개	cho2014	cho2014 v1 2014-06-03 via arXiv API
2014	09	Bahdanau 외 가산 어텐션 번역 논문 arXiv 공개	bahdanau2014	bahdanau2014 v1 2014-09-01 via arXiv API
2014	09	Sutskever 외 LSTM seq2seq 번역 논문 arXiv 공개	sutskever2014	sutskever2014 v1 2014-09-10 via arXiv API
