# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# PLAN.md §5 11단계에서 180개 이상으로 채운다.
1/√d 스케일링 | 어텐션 점수를 √d_k 로 나눠 분산을 1 로 맞춘다 | p6-var-proof
6N | 토큰 하나를 학습하는 FLOPs 를 파라미터 수 N 의 여섯 배로 어림한 것 | p7-flops-idea
AdamW | 가중치 감쇠를 기울기와 떼어 따로 더하는 Adam | p9-adamw
Adam | 기울기와 그 제곱의 지수이동평균으로 파라미터마다 보폭을 조절하는 옵티마이저 | p9-adamw
argmax | 가장 큰 값의 자리. 온도 0 의 생성이 이것이다 | p10-greedy
BERT | 인코더만 쌓고 가린 토큰을 맞히게 학습한 모델 | p1-bert
BPE | 가장 자주 붙어 나오는 토큰 짝을 새 토큰으로 합쳐 가는 서브워드 방법 | p5-bpe-origin
blocked 행렬곱 | 행렬을 조각으로 나눠 조각이 캐시에 들게 한 루프 | p9-blocked
Box–Muller | 균등 난수 둘로 정규분포 난수를 만드는 변환 | p0-two-impl
C99 | 이 덱의 두 번째 구현 언어. 같은 식을 float32 배열로 다시 짰다 | p9-one-array
causal_softmax | j ≤ i 칸에서만 소프트맥스하는 인과 마스크 구현 | p6-mask-inf
Chinchilla | 계산 예산이 늘 때 모델과 토큰을 같은 비율로 늘리라는 결론을 낸 연구 | p1-chinchilla
cross-entropy | 정답 토큰에 준 확률의 음의 로그. 이 덱의 손실 | p2-ce-def
d_ff | FFN 가운데 층의 폭. 이 덱은 4d | p7-ffn-formula
d_k | 헤드 하나의 폭 d/h | p6-mh-split
decoder-only | 인과 마스크를 둔 블록만 쌓은 모델. GPT 계열 | p7-decoder-only
dropout | 학습 중 칸을 확률 p 로 0 으로 만들고 나머지를 1/(1−p) 배 | p4-dropout-def
embedding | 토큰 id 로 표에서 벡터 한 행을 꺼내는 일 | p4-emb-def
FFN | 토큰마다 따로 도는 두 층 MLP | p7-ffn-formula
FlashAttention | n×n 어텐션 행렬을 만들지 않고 같은 출력을 내는 방법 | p11-os-flash
float32 | 4바이트 부동소수. 유효 숫자 7자리 남짓 | p9-float32
FLOPs | 부동소수 연산 수. 이 덱은 곱셈 하나·덧셈 하나를 각 1 로 센다 | p7-flops-idea
FMA | 곱셈과 덧셈을 한 명령으로 계산하는 최적화. -ffp-contract=off 로 막는다 | p9-quiz-1
FNV-1a | .bin 이 바이트까지 같은지 견주는 짧은 해시 | p5-parity-fnv
GELU | 입력에 정규분포 누적확률을 곱하는 활성함수 | p4-gelu-def
GPT-1 | 디코더만 쌓아 다음 토큰으로 먼저 학습한 모델 | p1-gpt1
GPT-2 | pre-LN 과 네 크기로 규모를 키운 디코더 모델 | p1-gpt2
GPT-3 | 1,750억 파라미터까지 키운 디코더 모델 | p1-gpt3
GQA | 질의 헤드 여럿이 키·값 헤드 하나를 나눠 쓰는 어텐션 | p11-gqa-def
greedy | 늘 확률이 가장 큰 토큰을 고르는 생성 | p10-greedy
ijk 행렬곱 | 교과서 차례의 루프. b 를 열 방향으로 읽는다 | p9-ijk
ikj 행렬곱 | a[i][k] 를 잡고 b 의 한 행을 앞에서부터 읽는 루프 | p9-ikj
KL 발산 | 두 분포가 얼마나 다른지. 교차엔트로피에서 엔트로피를 뺀 것 | p2-kl
KV 캐시 | 앞 위치의 키·값을 저장해 새 토큰의 질의만 계산하는 방법 | p10-recompute-cost
LayerNorm | 토큰 하나의 폭 방향으로 평균 0·분산 1 로 맞추고 g·b 로 되돌리는 정규화 | p4-ln-def
LoRA | 얼린 가중치 옆에 낮은 계수 곱 AB 만 배우는 미세조정 | p11-lora-idea
logits | 소프트맥스 앞의 점수. 토큰마다 하나 | p2-softmax-def
log-sum-exp | log Σ e^x 를 넘치지 않게 계산하는 요령 | p2-lse
LSTM | 문을 두어 긴 거리의 정보를 나르게 한 순환망 | p1-rnn
MHA | 폭을 헤드로 나눠 따로 어텐션하는 멀티헤드 어텐션 | p6-mh-why
MLM | 가린 토큰을 맞히는 학습 과제 | p11-mlm-why
MQA | 모든 질의 헤드가 키·값 한 벌을 나눠 쓰는 어텐션 | p11-mqa-def
nucleus sampling | top-p 샘플링의 다른 이름 | p10-topp
online softmax | 조각씩 읽으며 최댓값·합·가중평균만 갱신하는 소프트맥스 | p11-os-state
perplexity | 평균 음의 로그 가능도의 지수. "몇 갈래에서 헤매나" | p2-perplexity
post-LN | 잔차를 더한 뒤 정규화하는 배치 | p7-post-ln
pre-LN | 곁가지 입구에서 정규화하는 배치 | p7-gpt2-preln
ReLU | max(0, x) | p4-gelu-fig
RoPE | q·k 를 위치만큼 돌려 점수가 거리에만 달리게 하는 위치 방식 | p7-rope-idea
row-major | 행 우선으로 편 배열. (r, c) 는 r·열수 + c 번째 | p3-row-major
seq2seq | 입력 순서열을 벡터로 옮기고 출력 순서열로 풀어내는 모델 | p1-seq2seq
SiLU | x·σ(x). GELU 와 닮은 활성함수 | p4-gelu-fig
softmax | 실수 벡터를 합이 1 인 확률로 바꾸는 함수 | p2-softmax-def
SPEC.md | 파이썬과 C 가 함께 지키는 약속 문서 | p0-two-impl
splitmix64 | 씨앗 하나를 64비트 넷으로 펴는 함수 | p0-two-impl
temperature | 로짓을 나누는 수. 작을수록 쏠리고 클수록 퍼진다 | p10-temperature
tfs | 이 덱의 C 명령줄 도구 | p9-parity-plan
top-k | 확률이 높은 k 개 안에서만 뽑기 | p10-topk
top-p | 누적확률이 p 를 넘는 가장 짧은 앞부분에서만 뽑기 | p10-topp
uint16 리틀 엔디언 | .bin 토큰 파일의 형식 | p5-bin
UTF-8 | 코드 포인트를 1~4 바이트로 적는 인코딩 | p5-utf8-rule
word2vec | 낱말의 연속 벡터 표현을 배우는 방법 | p1-word2vec
xoshiro256** | 이 덱이 쓰는 64비트 난수 생성기 | p0-two-impl
가산 어텐션 | 작은 신경망으로 점수를 내는 어텐션 | p1-bahdanau
가중치 감쇠 | 파라미터를 조금씩 0 쪽으로 줄이는 정규화 | p9-adamw
가중합 | 가중치를 곱해 더한 것. 어텐션의 출력 | p6-rows-sum
검증 손실 | 학습에 쓰지 않은 글에서 잰 손실 | p2-perplexity
결정표 | 사전 토크나이저가 조각을 자르는 규칙표 | p5-decision-table
결정론 | 몇 번을 돌려도 같은 결과가 나오는 성질 | p9-threads-problem
계산 그래프 | 연산을 노드로, 입력 관계를 간선으로 적은 그래프 | p3-value-idea
고정 길이 병목 | 문장 전체를 벡터 하나로 누르는 seq2seq 의 한계 | p1-bahdanau
곁가지 | 잔차 스트림에서 갈라져 나가 계산한 뒤 더해지는 길 | p7-residual-idea
교차 어텐션 | 질의는 디코더, 키·값은 인코더 출력에서 오는 어텐션 | p7-three-shapes
구간 [lo, hi) | 스레드 조각의 경계. 끝은 들어가지 않는다 | p9-static-partition
귀납 | KV 캐시의 동치를 블록마다 되풀이해 보이는 증명 방법 | p10-kv-derive
기댓값 | 확률로 가중한 평균 | p2-expectation
기울기 | 손실을 파라미터로 미분한 벡터 | p3-goal
기울기 자르기 | 전체 노름이 문턱을 넘으면 기울기를 줄이는 것 | p9-clip-schedule
내적 | 칸끼리 곱해 더한 수. 닮음의 크기 | p2-dot
노름 | 벡터의 길이 | p9-clip-schedule
다음 토큰 예측 | 앞 토큰들에서 다음 토큰을 맞히는 학습 과제 | p7-decoder-only
단조 | 늘거나 줄기만 하는 성질 | p9-quiz-2
덧셈 과제 | 세 자리 수 둘의 합을 맞히는 합성 과제 | p7-decoder-only
동률 규칙 | 같은 값이면 작은 id 를 고른다는 약속 | p5-tie-break
두 구현 | 파이썬 참조와 C99 재구현 | p0-two-impl
디코드 | 토큰 id 를 바이트로 되돌리는 일 | p5-decode-code
라벨 스무딩 | 정답 분포를 원-핫에서 조금 퍼뜨리는 정규화 | p12-s5-4
