# 보안 결함 — docs/ 의 릴리스 노트에 적힌 CVE 전부
# (cURL 의 것 하나 뺌). tools/make_data.py 가 만든다.
# noted-in 은 그 CVE 를 이름으로 적은 모든 노트의 판 —
# 고친 판만이 아니라 "c.f." 로 언급만 한 판도 들어가고,
# CVE 이름 없이 앞 판의 수정을 합친 판은 빠진다.
# affected·summary 는 data/cves_ko.tsv.
cve	year	affected	noted-in	summary	source
CVE-2018-11233	2018	NTFS 경로 검사	2.13.7 2.17.1	NTFS 경로를 검사하는 코드를 속여 임의의 메모리를 읽게 할 수 있었다	Documentation/RelNotes/2.13.7.adoc (v2.55.0)
CVE-2018-11235	2018	서브모듈	2.13.7 2.17.1	.gitmodules 의 서브모듈 이름에 "../" 를 넣어 $GIT_DIR/modules 밖에 저장소를 만들게 할 수 있었다 — 이름 규칙을 강제한다	Documentation/RelNotes/2.13.7.adoc (v2.55.0)
CVE-2018-17456	2018	서브모듈	2.14.5 2.15.3 2.16.5 2.17.2 2.18.1 2.19.1	clone --recurse-submodules 가 .gitmodules 의 URL(대시로 시작하는 것 등)을 그대로 git clone 에 넘겼다	Documentation/RelNotes/2.14.5.adoc (v2.55.0)
CVE-2019-1348	2019	fast-import	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	스트림 안의 export-marks 기능으로 임의 경로를 덮어쓸 수 있었다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1349	2019	서브모듈(Windows)	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	재귀 복제에서 같은 git 디렉터리를 두 번 쓰게 속을 수 있었다 — 디렉터리가 비어 있어야 한다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1350	2019	서브모듈(Windows)	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	SSH URL 과 재귀 복제에서 명령줄 인자의 잘못된 따옴표 처리로 원격 코드 실행이 가능했다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1351	2019	Windows 경로	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	subst 로 만든 가상 드라이브 문자를 상대 경로로 오인해 복제 중 작업 트리 밖에 쓸 수 있었다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1352	2019	Windows 경로	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	NTFS 대체 데이터 스트림을 몰라 복제 중 .git/ 안의 파일이 덮어써질 수 있었다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1353	2019	WSL	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	WSL 에서 Windows 드라이브의 작업 디렉터리를 쓸 때 NTFS 보호가 하나도 켜지지 않았다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-1354	2019	Windows 경로	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	역슬래시가 든 파일 이름(리눅스에서는 합법)을 Windows 에서 그대로 써 내보냈다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
