# Termux 에 닿는 안드로이드 판별 동작. api 는 dev-android-platforms(developer.android.com) 에서 확인.
# year 칸은 출처가 없어 비웠다 — 판의 출시 해는 이 덱이 주장하지 않는다.
android-version	api	year	behaviour	source
5.0	21		termux-app 초기 minSdk 21(v0.17 태그). Android 5·6 에 대한 앱·패키지 지원은 2020-01-01 v0.83 에서 끝났다	data/app_sdk.tsv v0.17 · readme-termux-app 1.3
6.0	23		앱만 2022-05-24 GitHub 빌드(apt-android-5 변형)로 다시 설치 가능 — 패키지 갱신은 없다(PR #2740)	readme-termux-app 1.3 · 1.3.2
7.0	24		앱과 패키지를 온전히 지원하는 가장 낮은 판. minSdk 는 v0.76 태그부터 24	readme-termux-app 1.3 · data/app_sdk.tsv v0.76
9	28		termux-app 의 targetSdk 는 v0.66 태그부터 28 에 머문다 — 29 로 올리면 W^X 제한을 받기 때문	data/app_sdk.tsv v0.66 · gh-packages-termux-and-android-10 1
10	29		targetSdk 29 이상인 신뢰되지 않은 앱은 앱 홈 디렉터리의 파일에 execve() 를 부를 수 없다(W^X)	dev-android-10-behavior 1.3
10	29		sharedUserId 속성이 API 29 부터 폐지 예정(deprecated) — 기존 앱은 값을 지울 수 없다	dev-android-manifest-element
10	29		/proc/net 접근이 막혀 netstat 같은 도구가 동작하지 않는다(루트면 superuser 로 우회)	gh-packages-termux-and-android-10 1
10	29		일부 기기에서 셸이 뜨지 않는다 — 우회는 SELinux permissive(루트 필요)	gh-packages-termux-and-android-10 1
11	30		파일 디스크립터 새니타이저(fdsan)가 일부 유틸리티를 종료시킨다	gh-packages-termux-and-android-10 1
11	30		스코프드 스토리지 강제 — targetSdk 29 앱은 requestLegacyExternalStorage 로 잠시 빠질 수 있다	dev-android-11-storage 1.1
11	30		Google Play 판 Termux 는 Android 11 이상 기기용(2024-06 복귀)	readme-termux-app 1.3.3 · wiki-termux-google-play
12	31		팬텀 프로세스를 모든 앱 합쳐 32개까지만 두고 초과분과 CPU 를 많이 쓰는 프로세스를 죽인다(조용히 도입)	readme-termux-app 1 · android-docs-phantom 1·2.3
12	31		CPU 킬러를 끌 설정이 없다. 32개 초과 킬러는 adb/루트로 max_phantom_processes 를 2147483647 로 올려 끈다	android-docs-phantom 2.8.3 · 2.9.3
12L	32		settings_enable_monitor_phantom_procs 설정 플래그가 생겼다 — adb/루트로 false 를 넣으면 두 킬러가 꺼진다	android-docs-phantom 2.8.2 · 2.9.2
13	33		같은 settings 플래그가 쓰인다. sharedUserMaxSdkVersion 속성이 API 33 에 생겼다	android-docs-phantom 2.9.2 · dev-android-manifest-element
14	34		개발자 옵션의 "Disable child process restrictions" 토글로 끈다 — 개발자 옵션을 끄면 다시 켜진다	android-docs-phantom 2.9.1
14	34		am 명령은 root·shell 사용자만 실행할 수 있다	gh-packages-termux-execution-environment 1.4.1
16	36		2026-08-31 부터 Google Play 의 새 앱·업데이트는 API 36 이상을 target 해야 한다(2026-09 기준)	dev-android-target-sdk-play
