# 핀 고정 upstream 저장소 — 덱의 SRC 배지와 CODE file=sources/… 가 여기를 본다.
# pinned-sha 는 2026-09-18 의 원격 HEAD(git ls-remote), pinned-date 는 그 커밋의
# 커밋 날짜(git log -1 --format=%cs). license 는 핀 커밋의 LICENSE 파일에서 읽는다.
# history: full=커밋 기록 전부(tree:0) · shallow=핀 하나. paths: 희소 체크아웃.
repo	url	pinned-sha	pinned-date	license	history	paths	why-pinned
termux-app	https://github.com/termux/termux-app	084d709fbf23ea83b5cb85fd3d795c775be06676	2026-09-16	GPL-3.0-only	full	-	앱: 터미널 에뮬레이터·부트스트랩 설치·TermuxService·RUN_COMMAND·termux.properties·매니페스트
termux-packages	https://github.com/termux/termux-packages	7d5b4d3ec4d743aeae7908651146d4e187789be8	2026-09-17	패키지마다 그 패키지의 라이선스	full	packages/termux-tools,packages/termux-exec,packages/termux-am,packages/termux-am-socket,packages/proot-distro,packages/proot,packages/apt,packages/dpkg,packages/bash,packages/termux-api,packages/termux-services,packages/termux-keyring,packages/termux-licenses,packages/command-not-found,packages/termux-elf-cleaner,packages/tur-repo,packages/x11-repo,packages/root-repo,packages/glibc-repo,packages/termux-core,scripts,.github,x11-packages/termux-x11-nightly	패키지 빌드 시스템·termux-tools·termux-exec·proot-distro 빌드 스크립트·저장소 키
termux-tools	https://github.com/termux/termux-tools	9463f66b650383a896fb728579f0dd54bc9ebe5b	2026-06-20	GPL-3.0	full	-	pkg·termux-info·termux-setup-storage 등 기본 스크립트의 원본
termux-exec	https://github.com/termux/termux-exec	2cd0ba6b907565484130851f9617523c98df8615	2026-07-02	Apache-2.0 + MIT (파일별)	full	-	LD_PRELOAD execve 가로채기·셔뱅 고쳐 쓰기·시스템 링커 실행
termux-api	https://github.com/termux/termux-api	fc26ce17e3badf85d4df191af364fcf7798047f1	2026-09-17	GPLv3 (README)	full	-	Termux:API 앱 — 명령마다의 Java 클래스와 브로드캐스트 수신기
termux-api-package	https://github.com/termux/termux-api-package	9e7f1531e1aa4a9c1e261a2dbde4de93653c366e	2026-09-17	MIT	full	-	termux-api 명령줄 쪽 — termux-api 바이너리와 termux-* 스크립트
termux-am-socket	https://github.com/termux/termux-am-socket	1ac60a15c4fe52c47ed85090088525b8f317f503	2022-07-05	GPL-3.0	full	-	am 명령을 앱의 소켓으로 보내는 클라이언트
proot	https://github.com/termux/proot	7266fb3e8516535682f5a9c8f3a7e70f6506eddb	2026-08-22	GPL-2.0	full	-	ptrace 추적자·경로 번역·link2symlink
proot-distro	https://github.com/termux/proot-distro	f832a56f2e8aab659a915600598b5321996aad78	2026-08-22	GPL-3.0	full	-	배포판 설치·로그인·바인드 스크립트
termux-boot	https://github.com/termux/termux-boot	a8493bd6ba016bc370af34aa65fcbe065cc00ced	2026-01-20	GPLv3 (README)	full	-	플러그인: 부팅할 때 실행
termux-widget	https://github.com/termux/termux-widget	b3aacb8175fb2d7167ce8d1ad6817087498aa044	2026-01-21	GPL-3.0-only	full	-	플러그인: 홈 화면 위젯
termux-tasker	https://github.com/termux/termux-tasker	dbf685fe2973c3490a27cbd37f31909ad5eb3bb3	2025-11-22	GPL-3.0-only	full	-	플러그인: Tasker 연동
termux-float	https://github.com/termux/termux-float	75352bde928e9888a2aa2ad7e130f16118391b75	2025-10-29	GPL-3.0-only	full	-	플러그인: 떠 있는 터미널 창
termux-styling	https://github.com/termux/termux-styling	79338cb19f4b86cae4d2e81e6de60ba7f613bb9b	2025-06-26	GPL-3.0-only	full	-	플러그인: 색·글꼴
termux-x11	https://github.com/termux/termux-x11	051f2e1a5b1ae4996da2b19afb74cc785fc5858a	2026-09-18	GPL-3.0	full	-	X11 서버 앱과 명령줄 쪽
termux-services	https://github.com/termux/termux-services	57bec04644f6fb12f5ceaa1dc5116bca4639fee3	2021-11-17	GPL-3.0	full	-	runit 기반 서비스(sv) 묶음
termux-elf-cleaner	https://github.com/termux/termux-elf-cleaner	f9273bcb37bf4c187123438566657fa5ac40cd51	2026-06-21	GPL-3.0	shallow	-	안드로이드 링커가 거부하는 ELF 항목 지우기
glibc-packages	https://github.com/termux/glibc-packages	dd20295d1f12137b6cd676f8ba812777e50a7abf	2026-09-13	MIT	full	.github	glibc 기반 패키지 저장소
