# 8부 2장 용어 — 낱말 | 한 줄 뜻 | 처음 설명하는 슬라이드 id
new(expr) | 식의 값을 초깃값으로 가진 새 변수를 만들어 그 주소를 돌려주는 new 의 새 꼴(1.26) | p8-v126-newexpr
현대화 도구(modernizer) | 코드를 더 새로운 언어·라이브러리 관용구로 안전하게 바꾸자고 제안하는 go fix 의 분석기 | p8-v126-gofix
소스 수준 인라이너(source-level inliner) | 호출을 피호출 함수의 본문으로 바꿔 소스에 영구히 남기는 도구. //go:fix inline 이 부른다 | p8-v126-fixinline
Green Tea | 객체가 아니라 페이지 단위로 표시·스캔하는 가비지 컬렉터. 1.26 의 기본값 | p8-v126-greentea
그래프 범람(graph flood) | 포인터를 따라 힙을 이곳저곳 뛰어다니며 표시하는 옛 GC 알고리즘 | p8-v126-greenteawhy
고루틴 누수(goroutine leak) | 닿을 수 없는 동시성 기본 요소에서 막혀 영원히 깨어나지 못하는 고루틴 | p8-v126-leak
move2heap | 스택에 있던 슬라이스를 돌려주기 직전에 딱 맞는 크기로 힙에 옮기는 컴파일러·런타임 함수 | p8-v126-stackslice
HPKE | 공개키 하나로 KEM·KDF·AEAD 를 엮어 메시지를 봉인하는 혼합 공개키 암호(RFC 9180) | p8-v126-hpke
KEM | 공유 비밀을 캡슐화해 상대 공개키로 보내는 키 캡슐화 방식. ML-KEM 은 양자 내성 KEM | p8-v126-hpke
혼합 키 교환(hybrid key exchange) | 고전 곡선(P-256 등)과 ML-KEM 을 함께 써서 둘 중 하나만 버텨도 안전하게 하는 TLS 키 교환 | p8-v126-tlspq
산출물 디렉터리(artifact dir) | 시험이 남기는 파일을 두는 자리. go test -artifacts 면 보존된다 | p8-v126-artifact
