# 7부 용어 — 낱말 | 한 줄 뜻 | 처음 설명하는 슬라이드 id
toolchain 줄 | go.mod 에 적는, 이 모듈에서 일할 때 쓸 권장 최소 툴체인. 모자라면 go 명령이 그 판을 받아 쓴다 | p7-v121-toolchain
GOTOOLCHAIN | go 명령이 어느 툴체인을 쓸지(local·auto·특정 판) 정하는 환경 변수 | p7-v121-toolchain
//go:debug | main 패키지 소스 맨 위에 적어 그 프로그램의 GODEBUG 기본값을 바꾸는 지시문 | p7-v121-godebugline
구조화 로깅(structured logging) | 메시지를 키–값 쌍으로 남겨 기계가 걸러 찾을 수 있게 하는 로깅 | p7-v121-slog
반복별 루프 변수(per-iteration loop variable) | for 루프가 선언한 변수를 반복마다 새로 만드는 1.22 의 의미 | p7-v122-loopvar
반복자(iterator) | yield 함수를 받아 값을 하나씩 넘겨주는 함수. for-range 에 바로 쓸 수 있다 | p7-v123-rangefunc
yield | 반복자가 값을 넘길 때 부르는 함수. false 를 돌려주면 루프가 끝났다는 뜻이다 | p7-v123-rangefunc
당겨 쓰기 반복자(pull iterator) | iter.Pull 이 밀어 주기 반복자를 바꿔 만든 next·stop 쌍 | p7-v123-pull
정규화(interning) | 같은 값을 정규 사본 하나로 모아 포인터 비교로 같음을 가리는 일(unique.Handle) | p7-v123-unique
텔레메트리(telemetry) | 툴체인의 사용·고장 통계. 기본은 로컬에만 쓰고, 켜야 익명 보고가 올라간다 | p7-v123-telemetry
Swiss Table | 슬롯 여러 개를 묶음으로 다루는 해시 테이블 설계. 1.24 의 내장 map 이 이것으로 바뀌었다 | p7-v124-swiss
약한 포인터(weak pointer) | 가리키는 객체를 살려 두지 않는 포인터(weak.Pointer) | p7-v124-weak
os.Root | 디렉터리 하나에 갇혀 그 밖을 가리키는 경로를 거절하는 파일 접근 | p7-v124-osroot
