command	stderr-first-line	exit
status	fatal: not a git repository (or any of the parent directories): .git	128
cat-file -p nope	fatal: Not a valid object name nope	128
merge-base main nope	fatal: Not a valid object name nope	128
commit-tree nope -m x	fatal: not a valid object name nope	128
branch x nope	fatal: not a valid object name: 'nope'	128
switch nope	fatal: invalid reference: nope	128
checkout nope	error: pathspec 'nope' did not match any file(s) known to git	1
tag t nope	fatal: Failed to resolve 'nope' as a valid ref.	128
merge nope	merge: nope - not something we can merge	1
log nope	fatal: ambiguous argument 'nope': unknown revision or path not in the working tree.	128
diff nope main	fatal: ambiguous argument 'nope': unknown revision or path not in the working tree.	128
reflog nope	fatal: ambiguous argument 'nope': unknown revision or path not in the working tree.	128
add nope	fatal: pathspec 'nope' did not match any files	128
rm --cached nope	fatal: pathspec 'nope' did not match any files	128
hash-object nope	fatal: could not open 'nope' for reading: No such file or directory	128
branch main	fatal: a branch named 'main' already exists	128
branch a..b	fatal: 'a..b' is not a valid branch name	128
tag t	fatal: tag 't' already exists	128
