# CVE 의 영역과 한국어 요약 — 손으로 쓴 유일한 칸. 출처는 data/cves.tsv 의
# source 칸(그 CVE 를 처음 적은 릴리스 노트)이고, 요약은 그 문단을 옮긴 것이다.
# tools/make_data.py 가 읽어 cves.tsv 에 붙인다. 행이 빠지면 표를 만들지 않는다.
cve	affected	summary
CVE-2018-11233	NTFS 경로 검사	NTFS 경로를 검사하는 코드를 속여 임의의 메모리를 읽게 할 수 있었다
CVE-2018-11235	서브모듈	.gitmodules 의 서브모듈 이름에 "../" 를 넣어 $GIT_DIR/modules 밖에 저장소를 만들게 할 수 있었다 — 이름 규칙을 강제한다
CVE-2018-17456	서브모듈	clone --recurse-submodules 가 .gitmodules 의 URL(대시로 시작하는 것 등)을 그대로 git clone 에 넘겼다
CVE-2019-1348	fast-import	스트림 안의 export-marks 기능으로 임의 경로를 덮어쓸 수 있었다
CVE-2019-1349	서브모듈(Windows)	재귀 복제에서 같은 git 디렉터리를 두 번 쓰게 속을 수 있었다 — 디렉터리가 비어 있어야 한다
CVE-2019-1350	서브모듈(Windows)	SSH URL 과 재귀 복제에서 명령줄 인자의 잘못된 따옴표 처리로 원격 코드 실행이 가능했다
CVE-2019-1351	Windows 경로	subst 로 만든 가상 드라이브 문자를 상대 경로로 오인해 복제 중 작업 트리 밖에 쓸 수 있었다
CVE-2019-1352	Windows 경로	NTFS 대체 데이터 스트림을 몰라 복제 중 .git/ 안의 파일이 덮어써질 수 있었다
CVE-2019-1353	WSL	WSL 에서 Windows 드라이브의 작업 디렉터리를 쓸 때 NTFS 보호가 하나도 켜지지 않았다
CVE-2019-1354	Windows 경로	역슬래시가 든 파일 이름(리눅스에서는 합법)을 Windows 에서 그대로 써 내보냈다
CVE-2019-1387	서브모듈	서브모듈 이름 검사가 느슨해 재귀 복제에서 표적 원격 코드 실행이 가능했다
CVE-2019-19604	서브모듈	.gitmodules 의 submodule.<이름>.update=!명령 으로 재귀 복제 뒤 submodule update 가 저장소 안의 코드를 실행할 수 있었다
CVE-2020-5260	자격 증명	줄바꿈이 든 URL 로 자격 증명 도우미가 엉뚱한 호스트의 자격 증명을 내주게 할 수 있었다
CVE-2020-11008	자격 증명	줄바꿈·빈 호스트·스킴 없는 URL 로 도우미가 맞지 않는 자격 증명을 내주게 할 수 있었다
CVE-2021-21300	clean/smudge 필터	대소문자를 가리지 않고 심볼릭 링크를 쓰는 파일 시스템에서, 지연 필터(Git LFS 등)가 켜져 있으면 복제 중 원격 코드가 실행될 수 있었다
CVE-2022-24765	저장소 소유자(safe.directory)	다중 사용자 기계에서 다른 사용자가 만든 상위 디렉터리의 .git 에 들어가, 프롬프트의 git status 만으로도 그 사용자가 정한 명령이 실행될 수 있었다
CVE-2022-29187	저장소 소유자(safe.directory)	소유자 검사를 작업 트리뿐 아니라 git 디렉터리와 .git 파일까지 넓혔다
CVE-2022-39253	로컬 복제	--local 복제가 원본의 심볼릭 링크를 따라가 임의의 파일을 새 저장소의 $GIT_DIR 에 넣을 수 있었다 — protocol.file.allow 기본값이 user 로 바뀌었다
CVE-2022-39260	git shell	아주 긴 명령 문자열이 split_cmdline() 을 넘쳐 힙에 쓰고 원격 코드를 실행할 수 있었다
CVE-2022-41903	log --format · archive	형식 지정자의 채움 연산자에서 정수 넘침이 일어나 힙에 임의로 쓸 수 있었다(export-subst 를 거친 git archive 로도)
CVE-2022-23521	gitattributes	패턴·속성이 아주 많거나 이름이 아주 긴 .gitattributes 가 정수 넘침으로 힙을 읽고 쓰게 할 수 있었다
CVE-2023-22490	로컬 복제	로컬이 아닌 전송에서도 로컬 복제 최적화를 쓰게 속여, 피해자 파일 시스템의 파일을 빼낼 수 있었다
CVE-2023-23946	git apply	조작한 입력으로 작업 트리 밖의 경로를 덮어쓸 수 있었다
CVE-2023-25652	git apply --reject	거부된 덩어리의 내용으로 작업 트리 밖의 경로를 덮어쓸 수 있었다
CVE-2023-25815	gettext	번역 없이 도는 runtime-prefix 빌드가 엉뚱한 곳에서 번역 메시지를 찾아, 조작한 메시지를 보이게 할 수 있었다
CVE-2023-29007	설정 파일	설정 절을 바꾸거나 지울 때 악의적인 값이 새 절의 시작으로 읽혀 설정을 주입할 수 있었다
CVE-2024-32002	서브모듈 · 심볼릭 링크	대소문자를 가리지 않는 파일 시스템에서 재귀 복제가 방금 받은 코드를 복제 중에 실행하게 속을 수 있었다
CVE-2024-32004	로컬 복제	로컬 복제 중 임의의 코드를 실행하도록 저장소를 설정할 수 있었다 — 2.30.3 의 소유자 검사를 로컬 복제에도 적용
CVE-2024-32020	로컬 복제	같은 디스크의 다른 사용자 저장소에서 하드 링크로 가져온 객체를 그 사용자가 언제든 바꿀 수 있었다
CVE-2024-32021	로컬 복제	심볼릭 링크가 든 원본을 복제하면 objects/ 에 임의의 읽을 수 있는 파일로 가는 하드 링크가 생길 수 있었다
CVE-2024-32465	복제	압축 파일에서 푼 믿을 수 없는 저장소를 복제할 때 임의의 코드가 실행되게 속을 수 있었다
CVE-2024-50349	URL · 자격 증명	제어 문자가 든 URL 을 받아들였다 — 이제 거부한다
CVE-2024-52006	URL · 자격 증명	제어 문자가 든 URL 을 받아들였다 — 이제 거부한다
CVE-2025-27613	gitk	믿을 수 없는 저장소에서 gitk 를 띄우면 쓸 수 있는 아무 파일이나 만들고 비울 수 있었다
CVE-2025-27614	gitk	특정한 꼴의 파일 이름으로 gitk filename 을 부르게 해 공격자의 스크립트를 실행시킬 수 있었다
CVE-2025-46334	Git GUI(Windows)	저장소에 든 sh.exe·astextplain 같은 실행 파일이 메뉴에서 실행될 수 있었다
CVE-2025-46835	Git GUI	악의적인 이름의 디렉터리 안 파일을 편집하게 해 쓸 수 있는 아무 파일이나 만들고 덮어쓸 수 있었다
CVE-2025-48384	설정 · 서브모듈	끝에 CR 이 붙은 서브모듈 경로가 설정을 거치며 CR 을 잃어 엉뚱한 곳에 체크아웃되고, 훅이 실행될 수 있었다
CVE-2025-48385	bundle URI	서버가 광고한 번들을 충분히 검증하지 않아 프로토콜 주입으로 번들을 공격자가 정한 곳에 쓰게 할 수 있었다
CVE-2025-48386	wincred 도우미	정적 버퍼에 이어 붙일 때 남은 공간을 검사하지 않아 넘칠 수 있었다
