# 연표 — tools/make_data.py 가 data/events.tsv(사람이
# 적음)와 모든 x.y.0 릴리스를 합쳐 만든다. 고칠 곳은
# events.tsv.
date	event	source	verified-how
1975-12	M. J. Rochkind 의 SCCS(Source Code Control System) 논문이 IEEE TSE 에 실리다	Rochkind, "The Source Code Control System", IEEE TSE SE-1(4):364-370, 1975, doi:10.1109/TSE.1975.6312866	ACM DL 서지 확인(WebSearch)
1985-07	W. F. Tichy 의 RCS 논문이 Software: Practice and Experience 에 실리다	Tichy, "RCS — A System for Version Control", SP&E 15(7):637-654, 1985, doi:10.1002/spe.4380150703	Wiley 서지 확인(WebSearch)
1986	Dick Grune 이 Vrije Universiteit 에서 만든 셸 스크립트판 CVS 가 comp.sources.unix 6권으로 나오다	Berliner, "CVS II: Parallelizing Software Development", USENIX Winter 1990	논문 본문 2.1절·참고문헌 [Grune] 인용(docs-archive.freebsd.org/44doc/psd/28.cvs/paper.pdf)
1990	Brian Berliner 가 C 로 다시 짠 CVS 를 USENIX Winter 1990 에서 발표하다	Berliner, "CVS II: Parallelizing Software Development", USENIX Winter 1990, pp.341-352	논문 PDF 표지·본문 확인
2000-10-20	Subversion 이 첫 이정표(Milestone 1)를 내다	subversion.apache.org/docs/release-notes/release-history.html	릴리스 기록 페이지의 Milestone 1 줄
2004-02-23	Subversion 1.0.0 이 나오다	subversion.apache.org/docs/release-notes/release-history.html	릴리스 기록 페이지의 1.0.0 줄
2005-04-06	BitMover 가 BitKeeper 무료판 지원을 거두고 Linus 가 BitKeeper 사용을 멈추다(LWN 보도)	LWN, "The kernel and BitKeeper part ways", 2005-04-06, lwn.net/Articles/130746	기사 원문 curl 후 "withdrawing support for the free version" 문장 확인
2005-04-06	Linus Torvalds 가 LKML 에 "Kernel SCM saga.." 를 보내 BitKeeper 를 3년 쓴 끝에 대안을 찾는다고 알리다	LKML 메일 <Pine.LNX.4.58.0504060800280.2215@ppc970.osdl.org> (MARC m=111280216717070)	docs/mail-kernel-scm-saga.txt 의 Date 머리(Wed, 06 Apr 2005 15:42:08 +0000)
2005-04-07	첫 커밋 e83c5163 "Initial revision of "git", the information manager from hell" — 파일 11개, README 는 "GIT - the stupid content tracker"	git 저장소 커밋 e83c5163316f89bfbde7d9ab23ca2e25604af290	mirror: git show -s e83c5163 (2005-04-07 15:13:13 -0700) · git ls-tree e83c5163
2005-04-12	Junio C Hamano 의 첫 커밋(show-files 오타 고침 패치)	git 저장소 커밋 31cedfb95	mirror: git log --reverse --author=Junio v1.0.0 | head -1
2005-04-18	첫 머지 커밋 — Daniel Barkalow 의 새 객체 모델을 합치다	git 저장소 커밋 b51ad4314	mirror: git log --reverse --merges v1.0.0 | head -1
2005-04-20	Matt Mackall 이 LKML 에 Mercurial v0.1 을 알리다(본문 날짜는 "April 19, 2005")	LKML 아카이브 lkml.iu.edu/hypermail/linux/kernel/0504.2/0670.html	원문 페이지의 Date(Wed Apr 20 2005 05:12:23 EST)와 본문 첫 줄
2005-07-10	v0.99 태그가 가리키는 커밋	git 저장소 태그 v0.99 → a3eb250f9	mirror: git log -1 v0.99 (태그에 태거 날짜가 없어 커밋 날짜)
2005-07-26	Linus 가 git 유지보수를 Junio C Hamano 에게 넘긴다고 알리다 — 메일 "Meet the new maintainer.." (UTC 로는 7월 27일)	git 메일 <Pine.LNX.4.58.0507262004320.3227@g5.osdl.org> (MARC m=112243466603239)	docs/mail-meet-new-maintainer.txt: Date 27 Jul 2005 03:24:07 +0000, Message-Id 의 0507262004 는 태평양 시각 7월 26일 20:04
2005-12-21	Junio C Hamano 가 "[ANNOUNCE] GIT 1.0.0" 을 보내다 — 1.0.0 까지 커밋 2,930개, 기여자 115명	git 메일 <7vbqzadgmt.fsf@assigned-by-dhcp.cox.net> (MARC m=113515203321888), 태그 v1.0.0	docs/mail-announce-1.0.0.txt · mirror: git rev-list --count v1.0.0 · git shortlog -sn v1.0.0 | wc -l
2005-12-21	git 1.0.0 릴리스	git 저장소 태그 v1.0.0	mirror 태그 v1.0.0 의 taggerdate
2006-01-08	git 1.1.0 릴리스	git 저장소 태그 v1.1.0	mirror 태그 v1.1.0 의 taggerdate
2006-02-12	git 1.2.0 릴리스	git 저장소 태그 v1.2.0	mirror 태그 v1.2.0 의 taggerdate
2006-04-18	git 1.3.0 릴리스	git 저장소 태그 v1.3.0	mirror 태그 v1.3.0 의 taggerdate
2006-06-10	git 1.4.0 릴리스	git 저장소 태그 v1.4.0	mirror 태그 v1.4.0 의 taggerdate
2007-02-14	1.5.0 — reflog 가 작업 트리가 있는 저장소에서 기본으로 켜지고 HEAD 의 reflog·reflog expire 가 들어오다(reflog 자체는 1.4.0, pack-refs 는 1.4.4)	Documentation/RelNotes/1.5.0.adoc	docs/relnotes-1.5.0.txt 의 "Reflog" 절과 "Old news" 절
2007-02-14	git 1.5.0 릴리스	git 저장소 태그 v1.5.0	mirror 태그 v1.5.0 의 taggerdate
2008-04-10	GitHub 가 정식으로 문을 열다("GitHub is officially live")	GitHub 블로그 "We launched", Chris Wanstrath, 2008-04-10	github.blog 원문 curl 확인
2008-08-17	1.6.0 — 대부분의 "git-xyzzy" 명령이 $PATH 밖에 설치되다	Documentation/RelNotes/1.6.0.adoc	docs/relnotes-1.6.0.txt 첫 문단
2008-08-17	git 1.6.0 릴리스	git 저장소 태그 v1.6.0	mirror 태그 v1.6.0 의 taggerdate
2010-02-12	1.7.0 — bare 가 아닌 저장소의 체크아웃된 브랜치로 push 하는 것을 기본으로 거부하다	Documentation/RelNotes/1.7.0.adoc	releases.tsv first-feature 칸
2010-02-12	git 1.7.0 릴리스	git 저장소 태그 v1.7.0	mirror 태그 v1.7.0 의 taggerdate
2012-10-21	git 1.8.0 릴리스 — 노트의 새 기능 첫 항목: A credential helper for Win32 to allow access to the keychain of the logged-in user has been added.	git 저장소 태그 v1.8.0	mirror 태그 v1.8.0 의 taggerdate
2014-02-14	git 1.9.0 릴리스 — 노트의 새 기능 첫 항목: Fetching from a shallowly-cloned repository used to be forbidden, primarily because the codepaths involved were not carefully vetted and we …	git 저장소 태그 v1.9.0	mirror 태그 v1.9.0 의 taggerdate
2014-05-28	2.0.0 — push.default 를 정하지 않았을 때의 push 가 "matching" 에서 "simple" 로 바뀌다(1.8.0 노트가 예고)	Documentation/RelNotes/2.0.0.adoc	docs/relnotes-2.0.0.txt Backward compatibility notes · 2.8.0 노트의 "'simple' mode is now the default"
2014-05-28	2.0.0 — JGit 의 비트맵 색인이 git 에 들어오다	Documentation/RelNotes/2.0.0.adoc	"The bitmap-index feature from JGit has been ported"
2014-05-28	2.0.0 까지 커밋 36,430개	git 저장소 태그 v2.0.0	mirror: git rev-list --count v2.0.0
2014-05-28	git 2.0.0 릴리스 — 노트의 새 기능 첫 항목: The "multi-mail" post-receive hook (in contrib/) has been updated to a more recent version from upstream.	git 저장소 태그 v2.0.0	mirror 태그 v2.0.0 의 taggerdate
2014-08-15	2.1.0 — 실험적 분할 인덱스(split index)	Documentation/RelNotes/2.1.0.adoc	"an experimental format to use two files … has been introduced"
2014-08-15	git 2.1.0 릴리스 — 노트의 새 기능 첫 항목: Since the very beginning of Git, we gave the LESS environment a default value "FRSX" when we spawn "less" as the pager. "S" (chop long …	git 저장소 태그 v2.1.0	mirror 태그 v2.1.0 의 taggerdate
2014-11-26	git 2.2.0 릴리스 — 노트의 새 기능 첫 항목: "git archive" learned to filter what gets archived with a pathspec.	git 저장소 태그 v2.2.0	mirror 태그 v2.2.0 의 taggerdate
2015-02-05	git 2.3.0 릴리스 — 노트의 새 기능 첫 항목: It was cumbersome to use "GIT_SSH" mechanism when the user wanted to pass an extra set of arguments to the underlying ssh. A new …	git 저장소 태그 v2.3.0	mirror 태그 v2.3.0 의 taggerdate
2015-04-30	git 2.4.0 릴리스 — 노트의 새 기능 첫 항목: The command usage info strings given by "git cmd -h" and in documentation have been tweaked for consistency.	git 저장소 태그 v2.4.0	mirror 태그 v2.4.0 의 taggerdate
2015-07-27	git 2.5.0 릴리스 — 노트의 새 기능 첫 항목: The bash completion script (in contrib/) learned a few options that "git revert" takes.	git 저장소 태그 v2.5.0	mirror 태그 v2.5.0 의 taggerdate
2015-09-28	git 2.6.0 릴리스 — 노트의 새 기능 첫 항목: An asterisk as a substring (as opposed to the entirety) of a path component for both side of a refspec, e.g. …	git 저장소 태그 v2.6.0	mirror 태그 v2.6.0 의 taggerdate
