# 명령 — v2.55.0 의 command-list.txt 전부. name-line 은
# 그 명령 문서의 NAME 줄 원문, summary-ko 는
# data/commands_ko.tsv.
command	category	kind	name-line	summary-ko
git-add	mainporcelain	porcelain	Add file contents to the index	파일 내용을 인덱스에 올린다
git-am	mainporcelain	porcelain	Apply a series of patches from a mailbox	메일함의 패치 묶음을 커밋으로 적용한다
git-annotate	ancillaryinterrogators	ancillary	Annotate file lines with commit information	파일의 줄마다 커밋 정보를 단다(blame 의 옛 출력 꼴)
git-apply	plumbingmanipulators	plumbing	Apply a patch to files and/or to the index	패치를 파일 또는 인덱스에 적용한다
git-archimport	foreignscminterface	foreign	Import a GNU Arch repository into Git	GNU Arch 저장소를 Git 으로 가져온다
git-archive	mainporcelain	porcelain	Create an archive of files from a named tree	한 트리의 파일로 아카이브(tar·zip)를 만든다
git-backfill	mainporcelain	porcelain	Download missing objects in a partial clone	부분 clone 에서 빠진 객체를 받아 온다
git-bisect	mainporcelain	porcelain	Use binary search to find the commit that introduced a bug	이분 탐색으로 버그를 들여온 커밋을 찾는다
git-blame	ancillaryinterrogators	ancillary	Show what revision and author last modified each line of a file	파일의 줄마다 마지막으로 고친 판과 작성자를 보인다
git-branch	mainporcelain	porcelain	List, create, or delete branches	브랜치를 나열·생성·삭제한다
git-bugreport	ancillaryinterrogators	ancillary	Collect information for user to file a bug report	버그 보고에 쓸 정보를 모은다
git-bundle	mainporcelain	porcelain	Move objects and refs by archive	객체와 ref 를 파일 하나로 옮긴다
git-cat-file	plumbinginterrogators	plumbing	Provide contents or details of repository objects	저장소 객체의 내용이나 정보를 보인다
git-check-attr	purehelpers	plumbing	Display gitattributes information	gitattributes 가 매긴 속성을 보인다
git-check-ignore	purehelpers	plumbing	Debug gitignore / exclude files	gitignore·exclude 규칙을 진단한다
git-check-mailmap	purehelpers	plumbing	Show canonical names and email addresses of contacts	연락처의 정식 이름과 메일을 보인다
git-check-ref-format	purehelpers	plumbing	Ensures that a reference name is well formed	ref 이름이 올바른 꼴인지 확인한다
git-checkout	mainporcelain	porcelain	Switch branches or restore working tree files	브랜치를 바꾸거나 작업 트리 파일을 되돌린다
git-checkout-index	plumbingmanipulators	plumbing	Copy files from the index to the working tree	인덱스의 파일을 작업 트리로 복사한다
