# 3부 용어 — 낱말 | 한 줄 뜻 | 처음 설명한 장
메서드 값(method value) | 수신자를 묶어 둔 함수 값. x.M 을 부르지 않고 쓸 때 만들어진다(1.1) | p3-v11-methodvalue
메서드 식(method expression) | 수신자를 첫 인자로 받는 함수로 바꾼 메서드. (*T).M | p3-v11-methodvalue
끝나는 문장(terminating statement) | 함수가 마지막으로 실행할 것이 문법으로 보장되는 문장. 뒤에 return 이 없어도 된다 | p3-v11-terminating
서로게이트 반쪽(surrogate half) | UTF-16 조립에만 쓰는 U+D800–U+DFFF. Go 에서는 올바른 룬이 아니다 | p3-v11-surrogate
경쟁 검출기(race detector) | 동기화 없는 공유 변수 접근을 실행 중에 잡는 -race 도구 | p3-v11-race
세 인덱스 슬라이스 | a[i:j:k] — 길이와 함께 용량(k-i)까지 정하는 슬라이스 식 | p3-v12-slice3
선점(pre-emption) | 도는 고루틴을 스케줄러가 멈추고 다른 고루틴에게 차례를 주는 일 | p3-v12-runtime
시험 범위(test coverage) | 시험이 실행한 문장의 비율. go test -cover | p3-v12-cover
연속 스택(contiguous stack) | 모자라면 더 큰 한 덩어리로 통째로 옮기는 고루틴 스택 | p3-v13-stack
정밀 GC(precise GC) | 어느 칸이 포인터인지 정확히 알고 훑는 수집기 | p3-v13-precisegc
쓰기 장벽(write barrier) | 힙의 포인터 쓰기를 함수 호출로 감싸 GC 가 끼어들 수 있게 하는 장치 | p3-v14-runtime
go generate | //go:generate 주석의 명령을 실행해 소스를 만드는 go 하위 명령 | p3-v14-generate
정식 import 경로(canonical import path) | package 절 주석으로 못 박은, 그 패키지를 가져올 유일한 경로 | p3-v14-paths
