# 연표의 원본 — 사람이 적는 곳. tools/make_data.py 가 when 을 날짜로 풀어 data/timeline.tsv 를 만든다.
# when: YYYY-MM-DD · YYYY-MM · YYYY, 또는 release:X.Y.Z(그 태그의 날짜를 releases.tsv 에서 가져온다 — 날짜를 두 번 적지 않으려고).
# source 는 가장 강한 출처 하나, verified-how 는 다음 사람이 되짚는 법. 2025년 이후 행은 verified-how 에 "2026-09 기준".
when	event	source	verified-how
1975-12	M. J. Rochkind 의 SCCS(Source Code Control System) 논문이 IEEE TSE 에 실리다	Rochkind, "The Source Code Control System", IEEE TSE SE-1(4):364-370, 1975, doi:10.1109/TSE.1975.6312866	ACM DL 서지 확인(WebSearch)
1985-07	W. F. Tichy 의 RCS 논문이 Software: Practice and Experience 에 실리다	Tichy, "RCS — A System for Version Control", SP&E 15(7):637-654, 1985, doi:10.1002/spe.4380150703	Wiley 서지 확인(WebSearch)
1986	Dick Grune 이 Vrije Universiteit 에서 만든 셸 스크립트판 CVS 가 comp.sources.unix 6권으로 나오다	Berliner, "CVS II: Parallelizing Software Development", USENIX Winter 1990	논문 본문 2.1절·참고문헌 [Grune] 인용(docs-archive.freebsd.org/44doc/psd/28.cvs/paper.pdf)
1990	Brian Berliner 가 C 로 다시 짠 CVS 를 USENIX Winter 1990 에서 발표하다	Berliner, "CVS II: Parallelizing Software Development", USENIX Winter 1990, pp.341-352	논문 PDF 표지·본문 확인
2000-10-20	Subversion 이 첫 이정표(Milestone 1)를 내다	subversion.apache.org/docs/release-notes/release-history.html	릴리스 기록 페이지의 Milestone 1 줄
2004-02-23	Subversion 1.0.0 이 나오다	subversion.apache.org/docs/release-notes/release-history.html	릴리스 기록 페이지의 1.0.0 줄
2005-04-06	BitMover 가 BitKeeper 무료판 지원을 거두고 Linus 가 BitKeeper 사용을 멈추다(LWN 보도)	LWN, "The kernel and BitKeeper part ways", 2005-04-06, lwn.net/Articles/130746	기사 원문 curl 후 "withdrawing support for the free version" 문장 확인
2005-04-06	Linus Torvalds 가 LKML 에 "Kernel SCM saga.." 를 보내 BitKeeper 를 3년 쓴 끝에 대안을 찾는다고 알리다	LKML 메일 <Pine.LNX.4.58.0504060800280.2215@ppc970.osdl.org> (MARC m=111280216717070)	docs/mail-kernel-scm-saga.txt 의 Date 머리(Wed, 06 Apr 2005 15:42:08 +0000)
2005-04-07	첫 커밋 e83c5163 "Initial revision of "git", the information manager from hell" — 파일 11개, README 는 "GIT - the stupid content tracker"	git 저장소 커밋 e83c5163316f89bfbde7d9ab23ca2e25604af290	mirror: git show -s e83c5163 (2005-04-07 15:13:13 -0700) · git ls-tree e83c5163
2005-04-12	Junio C Hamano 의 첫 커밋(show-files 오타 고침 패치)	git 저장소 커밋 31cedfb95	mirror: git log --reverse --author=Junio v1.0.0 | head -1
2005-04-18	첫 머지 커밋 — Daniel Barkalow 의 새 객체 모델을 합치다	git 저장소 커밋 b51ad4314	mirror: git log --reverse --merges v1.0.0 | head -1
2005-04-20	Matt Mackall 이 LKML 에 Mercurial v0.1 을 알리다(본문 날짜는 "April 19, 2005")	LKML 아카이브 lkml.iu.edu/hypermail/linux/kernel/0504.2/0670.html	원문 페이지의 Date(Wed Apr 20 2005 05:12:23 EST)와 본문 첫 줄
2005-07-10	v0.99 태그가 가리키는 커밋	git 저장소 태그 v0.99 → a3eb250f9	mirror: git log -1 v0.99 (태그에 태거 날짜가 없어 커밋 날짜)
2005-07-26	Linus 가 git 유지보수를 Junio C Hamano 에게 넘긴다고 알리다 — 메일 "Meet the new maintainer.." (UTC 로는 7월 27일)	git 메일 <Pine.LNX.4.58.0507262004320.3227@g5.osdl.org> (MARC m=112243466603239)	docs/mail-meet-new-maintainer.txt: Date 27 Jul 2005 03:24:07 +0000, Message-Id 의 0507262004 는 태평양 시각 7월 26일 20:04
2005-12-21	Junio C Hamano 가 "[ANNOUNCE] GIT 1.0.0" 을 보내다 — 1.0.0 까지 커밋 2,930개, 기여자 115명	git 메일 <7vbqzadgmt.fsf@assigned-by-dhcp.cox.net> (MARC m=113515203321888), 태그 v1.0.0	docs/mail-announce-1.0.0.txt · mirror: git rev-list --count v1.0.0 · git shortlog -sn v1.0.0 | wc -l
release:1.5.0	1.5.0 — 노트가 reflog 와 packed refs(git-pack-refs)를 새 기능으로 소개하다	Documentation/RelNotes/1.5.0.adoc	docs/relnotes-1.5.0.txt 의 "Reflog"·"Packed refs" 항목
release:1.6.0	1.6.0 — 대부분의 "git-xyzzy" 명령이 $PATH 밖에 설치되다	Documentation/RelNotes/1.6.0.adoc	docs/relnotes-1.6.0.txt 첫 문단
release:1.7.0	1.7.0 — bare 가 아닌 저장소의 체크아웃된 브랜치로 push 하는 것을 기본으로 거부하다	Documentation/RelNotes/1.7.0.adoc	releases.tsv first-feature 칸
release:2.0.0	2.0.0 — push.default 를 정하지 않았을 때의 push 가 "matching" 에서 "simple" 로 바뀌다(1.8.0 노트가 예고)	Documentation/RelNotes/2.0.0.adoc	docs/relnotes-2.0.0.txt Backward compatibility notes · 2.8.0 노트의 "'simple' mode is now the default"
release:2.0.0	2.0.0 — JGit 의 비트맵 색인이 git 에 들어오다	Documentation/RelNotes/2.0.0.adoc	"The bitmap-index feature from JGit has been ported"
release:2.0.0	2.0.0 까지 커밋 36,430개	git 저장소 태그 v2.0.0	mirror: git rev-list --count v2.0.0
release:2.1.0	2.1.0 — 실험적 분할 인덱스(split index)	Documentation/RelNotes/2.1.0.adoc	"an experimental format to use two files … has been introduced"
release:2.9.0	2.9.0 — diff·log 가 기본으로 이름 변경을 감지하다	Documentation/RelNotes/2.9.0.adoc	Backward compatibility notes 의 "by default enable the rename detection"
release:2.11.0	2.11.0 — 참조 저장소(ref-store) 추상화가 들어와 참조의 백엔드를 갈아 끼울 길이 열리다	Documentation/RelNotes/2.11.0.adoc	"The ref-store abstraction was introduced to the refs API"
release:2.13.0	2.13.0 — 충돌 탐지 SHA-1(sha1dc, Marc Stevens·Dan Shumow)이 기본이 되다	Documentation/RelNotes/2.13.0.adoc	"has been integrated and made the default"
release:2.14.0	2.14.0 — diff 의 들여쓰기 휴리스틱이 기본이 되다	Documentation/RelNotes/2.14.0.adoc	"The "indent" heuristics is now the default in "diff""
release:2.16.0	2.16.0 — 쓸 해시 함수를 정하는 기반 구조가 들어와 SHA-1 바깥으로 가는 작업이 시작되다	Documentation/RelNotes/2.16.0.adoc	"An infrastructure to define what hash function is used in Git is introduced"
release:2.18.0	2.18.0 — 전송 프로토콜 v2 가 부분 복제를 지원하게 되다	Documentation/RelNotes/2.18.0.adoc	"Transfer protocol v2 learned to support the partial clone"
release:2.19.0	2.19.0 — git range-diff(tbdiff 의 다시 짬)	Documentation/RelNotes/2.19.0.adoc	""git range-diff" is a reimplementation of "git tbdiff""
release:2.20.0	2.20.0 — 팩이 많을 때 하나의 파일로 찾게 하는 다중 팩 색인(multi-pack-index)	Documentation/RelNotes/2.20.0.adoc	"a new mechanism to have a single file that …"(intro 목록)
release:2.23.0	2.23.0 — git switch 와 git restore 가 checkout 의 두 역할을 나눠 맡다	Documentation/RelNotes/2.23.0.adoc	"Two new commands "git switch" and "git restore" are introduced"
release:2.24.0	2.24.0 — pre-merge-commit 훅	Documentation/RelNotes/2.24.0.adoc	"A new "pre-merge-commit" hook has been introduced"
release:2.25.0	2.25.0 — git sparse-checkout 명령	Documentation/RelNotes/2.25.0.adoc	"gained a dedicated "sparse-checkout" command"
release:2.26.0	2.26.0 — 전송 프로토콜 v2 가 기본이 되다	Documentation/RelNotes/2.26.0.adoc	"The transport protocol version 2 becomes the default one"
release:2.28.0	2.28.0 — 새 저장소의 첫 브랜치 이름을 설정(init.defaultBranch)으로 정할 수 있게 되다	Documentation/RelNotes/2.28.0.adoc	"the default name used for the first branch in newly created repositories, is made configurable"
release:2.29.0	2.29.0 — SHA-256 저장소 지원을 실험 기능으로 표시하다(SHA-1 저장소와의 상호운용은 아직 없음)	Documentation/RelNotes/2.29.0.adoc	"marked as experimental" · "there is no interoperability between SHA-1 and SHA-256 repositories yet"
release:2.29.0	2.29.0 — git maintenance("git gc 의 큰형")	Documentation/RelNotes/2.29.0.adoc	""git maintenance", a "git gc"'s big brother, has been introduced"
