# 8부 2장 — Go 1.26 의 기능 행. 파트 작성 서브에이전트가 쓴다.
id	version	kind	title	cite-key	cite-sec	slide-id
p8-126-newexpr	1.26	lang	new(expr) — 초깃값을 주는 new	relnotes-1.26	Changes to the language	p8-v126-newexpr
p8-126-newjson	1.26	lang	new(expr) 로 선택적 필드 채우기	blog-gofix	Example: a modernizer for Go 1.26’s new(expr)	p8-v126-newjson
p8-126-newtrap	1.26	lang	new(x) 는 x 의 복사본을 가리킨다	relnotes-1.26	Changes to the language	p8-v126-newtrap
p8-126-selfref	1.26	lang	자기 자신을 가리키는 제약 (Adder[A Adder[A]])	relnotes-1.26	Changes to the language	p8-v126-selfref
p8-126-typecheck	1.26	toolchain	타입 검사기의 순환 검출 정리	blog-type-construction-and-cycle-detection	Conclusion	p8-v126-typecheck
p8-126-gofix	1.26	toolchain	go fix 재작성 — 현대화 도구의 집	relnotes-1.26	Go command	p8-v126-gofix
p8-126-gofixlist	1.26	toolchain	go fix 의 분석기 목록 (go tool fix help)	blog-gofix	Running go fix	p8-v126-gofixlist
p8-126-fixnew	1.26	toolchain	newexpr 현대화 도구	blog-gofix	Example: a modernizer for Go 1.26’s new(expr)	p8-v126-fixnew
p8-126-fixinline	1.26	toolchain	//go:fix inline 과 소스 수준 인라이너	blog-inliner	Example: fixing API design flaws	p8-v126-fixinline
p8-126-modinit	1.26	toolchain	go mod init 의 기본 go 줄을 한 단계 낮게	relnotes-1.26	Go command	p8-v126-modinit
p8-126-tooldoc	1.26	toolchain	cmd/doc·go tool doc 삭제	relnotes-1.26	Go command	p8-v126-tools
p8-126-pprof	1.26	toolchain	pprof 웹 UI 의 기본은 불꽃 그래프	relnotes-1.26	Pprof	
p8-126-greentea	1.26	runtime	Green Tea GC 가 기본값	relnotes-1.26	New garbage collector	p8-v126-greentea
p8-126-cgo	1.26	runtime	cgo 호출 기본 비용 ~30% 감소	relnotes-1.26	Faster cgo calls	p8-v126-runtime
p8-126-heapbase	1.26	runtime	힙 시작 주소 무작위화	relnotes-1.26	Heap base address randomization	p8-v126-heapbase
p8-126-leak	1.26	runtime	고루틴 누수 프로파일 (실험)	relnotes-1.26	Experimental goroutine leak profile	p8-v126-leak
p8-126-stackslice	1.26	toolchain	append 슬라이스의 스택 할당	relnotes-1.26	Compiler	p8-v126-stackslice
p8-126-linker	1.26	toolchain	실행 파일 섹션 변화 (.go.module 등)	relnotes-1.26	Linker	p8-v126-linker
p8-126-bootstrap	1.26	toolchain	부트스트랩에 Go 1.24.6 이상	relnotes-1.26	Bootstrap	
p8-126-cryptorand	1.26	stdlib	암호 API 가 rand 인자를 무시	relnotes-1.26	crypto/ecdh	p8-v126-cryptorand
p8-126-cryptotest	1.26	stdlib	testing/cryptotest.SetGlobalRandom	relnotes-1.26	testing/cryptotest	p8-v126-cryptotest
p8-126-hpke	1.26	stdlib	crypto/hpke 패키지 (RFC 9180)	relnotes-1.26	New crypto/hpke package	p8-v126-hpke
p8-126-tlspq	1.26	stdlib	TLS 에 SecP256r1MLKEM768 등 기본 활성	relnotes-1.26	crypto/tls	p8-v126-tlspq
p8-126-cryptomisc	1.26	stdlib	rsa·ecdsa 폐기 표시·mlkem 18% 빨라짐	relnotes-1.26	crypto/rsa	p8-v126-crypto
p8-126-astype	1.26	stdlib	errors.AsType — 제네릭 As	api-1.26	pkg errors, func AsType[$0 error](error) ($0, bool) #51945	p8-v126-astype
p8-126-reflectiter	1.26	stdlib	reflect 의 반복자 메서드	relnotes-1.26	reflect	p8-v126-reflectiter
p8-126-multihandler	1.26	stdlib	slog.NewMultiHandler	relnotes-1.26	log/slog	p8-v126-multihandler
p8-126-allocs	1.26	stdlib	fmt.Errorf·io.ReadAll 의 할당 감소	relnotes-1.26	io	p8-v126-allocs
p8-126-url	1.26	stdlib	url.Parse 가 host 의 콜론을 거절	relnotes-1.26	net/url	p8-v126-url
p8-126-http	1.26	stdlib	ServeMux 307·httptest 의 example.com	relnotes-1.26	net/http	p8-v126-http
p8-126-signal	1.26	stdlib	NotifyContext 가 신호를 원인으로	relnotes-1.26	os/signal	p8-v126-signal
p8-126-metrics	1.26	runtime	스케줄러 지표 /sched/goroutines/…	relnotes-1.26	runtime/metrics	p8-v126-metrics
p8-126-artifact	1.26	stdlib	T.ArtifactDir 와 go test -artifacts	relnotes-1.26	testing	p8-v126-artifact
p8-126-bloop	1.26	stdlib	B.Loop 안의 인라인 허용	relnotes-1.26	testing	p8-v126-bloop
p8-126-peek	1.26	stdlib	bytes.Buffer.Peek	api-1.26	pkg bytes, method (*Buffer) Peek(int) ([]uint8, error) #73794	p8-v126-small
p8-126-prefixcmp	1.26	stdlib	netip.Prefix.Compare	api-1.26	pkg net/netip, method (Prefix) Compare(Prefix) int #61642	
p8-126-sha3zero	1.26	stdlib	sha3.SHA3 의 0 값이 SHA3-256	relnotes-1.26	crypto/sha3	
p8-126-x509name	1.26	stdlib	KeyUsage·ExtKeyUsage 의 String·OID	relnotes-1.26	crypto/x509	p8-v126-small2
p8-126-parsedirective	1.26	stdlib	go/ast.ParseDirective	relnotes-1.26	go/ast	
p8-126-jpeg	1.26	stdlib	image/jpeg 새 구현	relnotes-1.26	image/jpeg	p8-v126-small3
p8-126-director	1.26	stdlib	ReverseProxy.Director 폐기 표시	relnotes-1.26	net/http/httputil	
p8-126-dialer	1.26	stdlib	Dialer.DialTCP 등 형별 다이얼	relnotes-1.26	net	
p8-126-simd	1.26	stdlib	simd/archsimd 실험 패키지 (amd64)	relnotes-1.26	New experimental simd/archsimd package	p8-v126-experiments
p8-126-secret	1.26	stdlib	runtime/secret 실험 패키지	relnotes-1.26	New experimental runtime/secret package	
p8-126-sunset	1.26	stdlib	1.27 에서 지울 GODEBUG 예고 (tls·gotypesalias·asynctimerchan)	relnotes-1.26	crypto/tls	p8-v126-sunset
p8-126-winarm	1.26	platform	windows/arm 포트 제거	relnotes-1.26	Windows	p8-v126-ports
p8-126-darwin	1.26	platform	macOS 12 를 지원하는 마지막 릴리스	relnotes-1.26	Darwin	
p8-126-riscvrace	1.26	platform	linux/riscv64 경쟁 검출기	relnotes-1.26	RISC-V	
p8-126-wasm	1.26	platform	WebAssembly 작은 힙의 메모리 감소	relnotes-1.26	WebAssembly	
