# 실제 모델 구성표 — 숫자는 논문 표·모델 카드에서 옮기고 source 칸에 그 자리를 적는다.
model	year	params	layers	d_model	heads	d_ff	ctx	vocab	source
Transformer base	2017	65M	6	512	8	2048		about 37000 (EN-DE BPE)	vaswani2017 Table 3 (params ×10^6 = 65) + §5.1 (vocab); N=6 is per stack (encoder and decoder); ctx not stated
Transformer big	2017	213M	6	1024	16	4096		about 37000 (EN-DE BPE)	vaswani2017 Table 3 (params ×10^6 = 213) + §5.1 (vocab); ctx not stated
GPT-1	2018		12	768	12	3072	512		radford2018 §4.1 Model specifications (PDF text via pypdf); params not stated in the paper; BPE with 40,000 merges (not a vocab size)
GPT-2 small	2019	117M	12	768	12		1024	50257	radford2019 Table 2 (params·layers·d_model) + §2.3 (vocab 50,257, ctx 1024); heads from openaipublic gpt-2/models/124M/hparams.json; openai/gpt-2 README says the original counts were wrong, now named 124M
GPT-2 medium	2019	345M	24	1024	16		1024	50257	radford2019 Table 2 + §2.3; heads from openaipublic gpt-2/models/355M/hparams.json; renamed 355M in openai/gpt-2 README/DEVELOPERS.md
GPT-2 large	2019	762M	36	1280	20		1024	50257	radford2019 Table 2 + §2.3; heads from openaipublic gpt-2/models/774M/hparams.json; released as 774M
GPT-2 XL	2019	1542M	48	1600	25		1024	50257	radford2019 Table 2 + §2.3; heads from openaipublic gpt-2/models/1558M/hparams.json; released as 1558M (model card: 1.5 billion)
BERT-base	2018	110M	12	768	12	3072	512	30000	devlin2018 §3 (L=12 H=768 A=12 Total Parameters=110M; footnote 3 filter size 4H=3072; WordPiece 30,000) + A.2 (combined length ≤ 512 tokens)
BERT-large	2018	340M	24	1024	16	4096	512	30000	devlin2018 §3 (L=24 H=1024 A=16 Total Parameters=340M; footnote 3: 4096) + A.2 (≤ 512 tokens)
GPT-3 Small	2020	125M	12	768	12		2048		brown2020 Table 2.1 + §2.1 (n_ctx=2048; d_ff = 4·d_model stated as a rule, not tabulated)
GPT-3 Medium	2020	350M	24	1024	16		2048		brown2020 Table 2.1 + §2.1
GPT-3 Large	2020	760M	24	1536	16		2048		brown2020 Table 2.1 + §2.1
GPT-3 XL	2020	1.3B	24	2048	24		2048		brown2020 Table 2.1 + §2.1
GPT-3 2.7B	2020	2.7B	32	2560	32		2048		brown2020 Table 2.1 + §2.1
GPT-3 6.7B	2020	6.7B	32	4096	32		2048		brown2020 Table 2.1 + §2.1
GPT-3 13B	2020	13.0B	40	5140	40		2048		brown2020 Table 2.1 + §2.1; d_model 5140 as printed (d_head 128 × 40 heads would be 5120 — table inconsistency, quoted as printed)
GPT-3 175B	2020	175.0B	96	12288	96		2048		brown2020 Table 2.1 + §2.1
Gopher 280B	2021	280B	80	16384	128		2048		rae2021 Table 1 (§3.1; feed-forward always 4×d_model) + §3.2 (2048 token context window)
Chinchilla 70B	2022	70B	80	8192	64			32000	hoffmann2022 Table 4 (§4.1) + Table 1 (70 Billion) + Table A8 (SentencePiece vocabulary of size 32,000)
LLaMA 7B	2023	6.7B	32	4096	32				touvron2023 Table 2 (§2.2); params column prints 6.7B
LLaMA 13B	2023	13.0B	40	5120	40				touvron2023 Table 2
LLaMA 33B	2023	32.5B	60	6656	52				touvron2023 Table 2
LLaMA 65B	2023	65.2B	80	8192	64				touvron2023 Table 2
T5-Small	2019	about 60 million	6	512	8	2048			raffel2019 §3.7 (Small); per stack (encoder and decoder)
T5-Base	2019	about 220 million	12	768	12	3072		32000	raffel2019 §3.1.1 (12 blocks each in encoder and decoder) + §3.1.3 (32,000 wordpieces) + §3.7
T5-Large	2019	about 770 million	24	1024	16	4096		32000	raffel2019 §3.7 (Large)
T5-11B	2019	about 11 billion	24	1024	128	65536		32000	raffel2019 §3.7 (3B and 11B; d_kv=128)
