# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# 세 번째 칸은 본문(0·2~16·19부)에서 그 낱말이 처음 설명되는 장이다.
객체(object) | 저장소에 든 바뀌지 않는 값 하나. blob·tree·commit·tag 넷이 있고 이름은 내용의 해시다 | p0-why
blob | 파일 내용만 담은 객체. 이름·권한은 없다 — 그것은 tree 가 갖는다 | p0-notation-1
tree | 디렉터리 하나를 나타내는 객체. 항목마다 모드·이름·객체 이름 | p0-notation-1
commit(커밋 객체) | tree 하나, 부모들, 작성자·커미터, 메시지를 담은 객체 | p0-promise
tag 객체 | 객체 하나에 이름·만든 이·메시지(서명)를 붙인 객체. 주석 태그가 만든다 | p2-graph-tag
객체 이름(object id) | 객체 바이트의 해시. SHA-1 저장소에서는 16진 40글자 | p0-notation-1
SHA-1 | 160비트 해시 함수. git 의 기본 객체 이름 함수 | p0-five
SHA-256 | 256비트 해시 함수. git 2.29 부터 실험 기능으로 쓸 수 있는 객체 이름 함수 | p3-intro
sha1dc | 알려진 충돌 공격을 탐지하는 SHA-1 구현. 2.13.0 부터 git 의 기본 | p3-sha1-history
SHAttered | 2017년에 발표된 첫 실제 SHA-1 충돌 | p3-sha1-history
내용 주소 저장소 | 값을 그 내용의 해시로 찾는 저장소. git 의 객체 데이터베이스가 그렇다 | p2
머리(header) | 객체 바이트의 앞 "형식 크기\0". 이름은 머리 + 몸의 해시다 | p0-why
느슨한 객체(loose object) | objects/앞2글자/나머지 에 zlib 으로 눌려 하나씩 든 객체 | p2-snap-count
zlib | deflate 압축 스트림에 머리 2바이트와 Adler-32 꼬리를 붙인 형식 | p0-five
deflate | 느슨한 객체와 팩 항목이 쓰는 압축 방식(RFC 1951) | p0-five
Adler-32 | zlib 스트림 끝의 4바이트 검사합 | p3-loose-bytes
모드(mode) | tree 항목의 종류: 100644 파일·100755 실행 파일·120000 링크·40000 트리·160000 서브모듈 | p2-graph-tree
gitlink | 모드 160000 의 tree 항목 — 서브모듈의 커밋을 가리킨다 | p3-tree-p
심볼릭 링크 | 모드 120000 — blob 에 링크가 가리키는 경로가 든다 | p2-graph-tree
작성자(author) | 변경을 처음 만든 사람과 시각 | p0-env
커미터(committer) | 커밋 객체를 만든 사람과 시각. rebase·amend 에서 작성자와 갈린다 | p2-no-diff
부모(parent) | 커밋이 가리키는 앞 커밋. 뿌리 커밋은 0개, 머지 커밋은 2개 이상 | p2-intro
뿌리 커밋(root commit) | 부모가 없는 커밋. 저장소의 첫 커밋 | p2-dag-idea
머지 커밋 | 부모가 둘 이상인 커밋 | p2-dag-idea
DAG | 방향 있고 되돌아오는 길이 없는 그래프. 커밋 역사의 모양 | p2
스냅숏 | 커밋이 가리키는 트리 전체 — 차이가 아니라 그 순간의 모든 파일 | p0-promise
작업 트리(working tree) | 꺼내 놓은 보통의 파일들 | p0-notation-2
인덱스(index) | 다음 커밋의 초안. .git/index 한 파일, 경로마다 blob 이름과 stat | p0-why
스테이징(staging) | 인덱스에 올리는 일. 스테이징 영역 = 인덱스 | p0-notation-1
저장소(repository) | .git 디렉터리 — 객체와 참조와 설정 | p0-promise
bare 저장소 | 작업 트리 없이 .git 내용만 있는 저장소. 서버 쪽이 흔히 이렇다 | p7-merge-tree
.git 디렉터리 | 저장소 자체. objects·refs·HEAD·index·config 가 산다 | p0-notation-2
참조(ref) | 이름 → 객체 이름. refs/ 아래 파일 한 줄 | p0-howto
브랜치 | refs/heads/ 아래의 참조. 커밋하면 앞으로 움직인다 | p0-why
태그 | refs/tags/ 아래의 참조. 붙인 자리에 머문다 | p0-tier
가벼운 태그 | 태그 객체 없이 커밋을 바로 가리키는 태그 | p3-tag-kinds
